"Format","Languages"
"changestr(find,string,replace)","Rexx"
"std.string.replace(string,find,replace)","D"
"Replace(string,find,replace)","VB"
"replace(string,find,replace)","Seed7"
"change(string,find,replace)","PickBasic"
"string.Replace(find,replace)","C#,F#,VB.NET"
"str_replace(find,replace,string)","PHP"
"re:replace(string,find,replace,«{return,list}»)","Erlang"
"string.replace(find,replace)","Cobra,Java(1.5+),Python,Rust"
"string.replaceAll(find_regex,replace)","Java"
"string.gsub(find,replace)","Ruby"
"string=~s/find_regex/replace/g","Perl5"
"string.subst(find,replace,:g)","Raku"
"string.replace(find,replace,""g"")orstring.replace(/find_regex/g,replace)","JavaScript"
"echo""string""|sed's/find_regex/replace/g'","Unix"
"string.replace(find,replace),orstring-replacefind_regex,replace","WindowsPowerShell"
"Str.global_replace(Str.regexp_stringfind)replacestring","OCaml"
"[stringstringByReplacingOccurrencesOfString:findwithString:replace]","Objective-C(NSString*only)"
"string.stringByReplacingOccurrencesOfString(find,withString:replace)","Swift(Foundation)"
"string.gsub(string,find,replace)(string):gsub(find,replace)","Lua"
"stringcopyReplaceAll:findwith:replace","Smalltalk(Squeak,Pharo)"
"stringmap{findreplace}string","Tcl"
"StringReplace[string,find->replace]","Mathematica"
"strings.Replace(string,find,replace,-1)","Go"
"INSPECTstringREPLACINGALL/LEADING/FIRSTfindBYreplace","COBOL"
"find_regex?Rreplace_regex?string","APL"
