"Meaning","Spanish","Portuguese","Notes"
"newspaper,journal","periódico<Lat.period?cus<gr.??????????","jornal<Fra.journal",""
"journalist","periodista<Lat.period?cus<gr.??????????","jornalista<Fra.journaliste",""
"journey","recorrido<Lat.recurr?re","jornada<Provençal.jornada<jorn",""
"shopwindow","escaparate<Ned.schaprade","montra<Fra.montre","TheFrench-derivedtermvitrina(inbothSpa/Por)orvitrine(inPor)isalsoused."
"boutique,clothesstore","tienda<Lat.tenda","boutique,butique<Fra.boutique",""
"scarf","bufanda<Uncertain,maybeO.Fra.bouffant","cachecol,écharpecache-col,écharpe",""
"lampshade,bedsidelamp","lámpara<Lat.<Gre.lamp?da<??????","abajur<Fra.abat-jour",""
"NewYear'sEve","Nochevieja<Lat.noctis+veclus<vet?lus","Reveillon<Fra.Reveillon",""
"frisson","escalofrío<Lat.+prefixex+cale+frige","frisson<Fra.frisson",""
"gaffe,blunder","meteduradepata<Lat.+Ar.<mitt?re+batt","gafe<Fra.gaffe",""
"brioche","bollodeleche<Lat.<bulla+lactis,","brioche<Fra.brioche",""
"croissant","medialuna<Lat.<media+luna","croissant,croassã<Fra.croissant",""
"courgette,zucchini","calabacín<Pre-romancalabaza","courgette,curgete<Fra.courgette",""
"blueberry","arándano<Celt+Lat.aran+rodamd?rum","mirtilo<Fra.myrtille","InPor.arando<Celtaranmeanscranberry"
"billyclub,truncheon","porra<Lat.porrum","cassetete,casse-tête<Fra.casse-tête",""
"creche","guarderíaninfantil<Ger.+Lat.warda+infant?lis","creche<Fra.crèche",""
"voyeur","mirón<Lat.mir?ri","voyeur<Fra.voyeur",""
"omelette","tortilla<uncertain+suffixtorta+illa","omelete<Fra.omelette",""
"swing","columpio<Leon.<Gr.columbiar<????????kolymbân","balancé<Fra.balancé",""
"lipstick","pintalabios<Lat.pinct?re+labium","batom<Fra.bâton",""
"cap","gorra<uncertaingorra","boné<Fra.bonnet",""
"hat","sombrero<Latsubumbr?re","chapéu<O.Fra.chapel",""
"fanny,pussy","coño<Latcunnus","chochota<Fra.chochotte","*popularslang/vulgarwordinBrazil"
"(train)station","estación(ferrocarril)<Lat.stati?nis","gare<Fra.gare","ThetermgareinPort.isalsousedforbus-station."
"quay,jetty,key","muelle<Lat.mollis","cais<Fra.quai","ThetermcaisinPort.isalsousedforrailwayplatforms."
"vehicle","vehículo<Lat.vehiculum","viatura<Fr.voiture",""
"package,packaging","envase<Lat.in+vasum","embalagem<Fr.emballage",""
"rissole","empanadillarellena<Lat.+prefixen+panis+re+plenus","rissol,rissole<Fra.rissole",""
"souvenir","recuerdo<Lat.record?ri","souvenir,suvenir<Fr.souvenir",""
"strike","huelga<Lat.follic?re","greve<Fr.grève",""
