"Name","Creator","Initialpublicrelease","Predecessor","Currentstableversion","Releasedate","Cost,availability","Preferredlicense","Targetsystemtype"
"AIX","IBM","1986","UNIXSystemVRelease3","7.2TL4","November2019","Bundledwithhardware","Proprietary","Server,NAS,workstation"
"AmigaOSclassic","CommodoreInternational,Haage&Partner,HyperionEntertainment","1985","TRIPOS(asthediskoperatingcomponentofAmigaOS)","3.9BB2","March20,2002","Discontinued;Bundledwithhardwareuptoversion3.0(AmigaInternationalhardwarecamewith3.1);versions2.1,3.0,3.1,3.5,3.9alsoavailableasseparatepackages","Proprietary,opensourcecloneavailableunderAROSPublicLicense","Workstation,personalcomputer"
"AmigaOS4","HyperionEntertainment","2004","AmigaOSclassic","4.1FinalEdition","2014","4.0bundledwithhardware;4.0forclassicand4.1availableasstandalonepackageat€29","Proprietary","Workstation,personalcomputer"
"Android","Android,Inc.,Google","2008","None","12","October4,2021","Nocost","AOSP:Apache-2.0Linux:GPL-2.0-only","Smartphone,tabletcomputer,education"
"ArcaOS","ArcaNoae,LLC","2017","OS/2","5.0.6","August31,2020","PersonaleditionUS$129.00CommercialeditionUS$229.00","Proprietary","Server,workstation,personalcomputer"
"ClassicMacOS(retronym;hadnonameoriginally,laterMacintoshSystemSoftware)","AppleComputer,Inc.(nowAppleInc.)","1984","None","9.2.2","2000","Discontinued;Wasbundledwith68kandPowerPCMacs;versions7-9soldasretailupgrades","Proprietary","Workstation,personalcomputer"
"ChromeOS","Google","2009","none","93.0.4577.107","October7,2021","Bundledwithhardware,32-biteditiondropped","Proprietary:GoogleOSTermsofService.Open-sourcecoresystem","Chromebook,Chromebox,Chromebaseandtablet"
"ChromiumOS","Google","2009","none","Rollingrelease","October7,2021","Nocost","BSD.KernelGPL","Personalcomputer"
"DragonFlyBSD","MatthewDillon","2003","FreeBSD","6.0","May10,2021","Nocost","BSD","Server,workstation,NAS,embeddedsystem"
"eComStation","SerenitySystems,MensysBV","2001","OS/2","2.1","May20,2011","Discontinued;Commercial","Proprietary","Server,workstation,personalcomputer"
"EPOC32","PsionPLC","1996","","ER5","1999","Discontinued;Commercial","Proprietary","PDA"
"FreeBSD","TheFreeBSDProject","1993","386BSD","13.0","April13,2021","Nocost","BSD","Server,workstation,NAS,embeddedsystem"
"Genode","GenodeLabs","2008","None","22.02","May31,2021","Nocost","AGPL-3.0-only","Desktop,embeddedsystem,server"
"GhostBSD","EricTurgeon","2009","FreeBSD","21.05","May13,2021","Nocost","BSD","Desktop,workstation"
