"Pumptype","Cyclic/continuous?","Maximumliftheight","Productioncost","Efficiency","Output","Sizeofdevice","Fabricationrequirements","Difficultyofproduction","Durability","Difficultyofrepair","Suctionlift?"
"Centrifugal(regenerative)pump","continuous","10m-30m","medium-high","medium","medium","?","?","industrial","?","?","yes"
"Centrifugal(turbine)pump","continuous","3m-200m","medium-high","medium-high","high","?","?","industrial","?","?","yes"
"Centrifugal(volute)pump","continuous","3m-20m","medium","medium-high","high","?","?","industrial","?","?","yes"
"Flapvalvepump","?","2m-4m","verylow","low-medium","verylow","?","?","basic/traditional","?","?","no"
"Inertiapump,jogglepump","cyclic","2m-4m","low-medium","medium-high","low-medium","?","?","traditional,industrial","?","?","no"
"Jetpump(water,airorstream)","continuous","2m-20m","medium","low-medium","low-medium","?","?","industrial","?","?","no"
"Mixedflowpump","continuous","2m-10m","medium-high","medium-high","high","?","?","industrial","?","?","no"
"Propeller(axialflow)pump","continuous","5m-30m","medium-high","medium-high","high","?","?","industrial","?","?","no"
"Reboundinertia","cyclic","2m-60m","medium","medium-high","verylow","?","?","industrial","?","?","yes"
"Resonatingjogglepump","cyclic","2m-10m","medium","medium-high","medium-high","?","?","traditional","?","?","no"
