"Symbol","Languages"
"comment~;","ALGOL60,SIMULA"
"¢~¢,#~#,co~co,comment~comment","ALGOL68"
"/*~*/","ActionScript,AutoHotkey,C,C++,C#,D,Go,Java,JavaScript,kotlin,Objective-C,PHP,PL/I,Prolog,Rexx,Rust(canbenested),Scala(canbenested),SAS,SASS,SQL,Swift(canbenested),VisualProlog,CSS"
"#cs~#ce","AutoIt"
"/+~+/","D(canbenested)"
"/#~#/","Cobra(canbenested)"
"<#~#>","Powershell"
"<!--~-->","HTML,XML"
"=begin~=cut","Perl"
"#`(~)","Raku(bracketingcharacterscanbe(),<>,{},[],anyUnicodecharacterswithBiDimirrorings,orUnicodecharacterswithPs/Pe/Pi/Pfproperties)"
"=begin~=end","Ruby"
"#<TAG>~#</TAG>,#stop~EOF,#iffalse~#endif,#ifntrue~#endif,#iffalse~#endif,#if!true~#endif","S-Lang"
"{-~-}","Haskell(canbenested)"
"(*~*)","Delphi,ML,Mathematica,ObjectPascal,Pascal,Seed7,Applescript,OCaml(canbenested),StandardML(canbenested),Maple,Newspeak,F#"
"{~}","Delphi,ObjectPascal,Pascal,Red"
"{#~#}","Nunjucks,Twig"
"{{!~}}","Mustache,Handlebars"
"{{!--~--}}","Handlebars(cannotbenested,butmaycontain{{and}})"
"|#~#|","Curl"
"%{~%}","MATLAB(thesymbolsmustbeinaseparateline)"
"#|~|#","Lisp,Scheme,Racket(canbenestedinallthree)."
"#=~=#","Julia"
"#[~]#","Nim"
"--[[~]],--[=[~]=],--[=...=[~]=...=]","Lua(bracketscanhaveanynumberofmatching=characters;canbenestedwithinnon-matchingdelimiters)"
"""~""","Smalltalk"
"(comment~)","Clojure"
