"","MD","DO"
"Standardizedadmissionsexamination","MedicalCollegeAdmissionTest(MCAT)","MedicalCollegeAdmissionTest(MCAT)"
"Medicalschoolapplicationservice","AMCAS/TMDSAS","AACOMAS/TMDSAS"
"Yearsofmedicalschool","4","4"
"MedicalLicensingExams(MLE)","USMLErequired","COMLEXrequiredUSMLEoptional"
"COMLEXrequired","",""
"USMLEoptional","",""
"Residency(PriortoJune30,2020)","MD(ACGME)","Onemustbeselected:DO(AOA)MD(ACGME)combinedDO/MDAOAapprovalofanACGMEprogram"
"DO(AOA)","",""
"MD(ACGME)","",""
"combinedDO/MD","",""
"AOAapprovalofanACGMEprogram","",""
"Residency(Current)","ACGME","ACGME"
"Boardcertification","MDmedicalspecialtyboards","EitherDOorMDmedicalspecialtyboards"
