"English","Malay","Indonesian"
"queue(line)","barisan(meansline""formation""inIndonesian)","antre,antri"
"rabbit","arnab(fromArabic)","kelinci(fromDutchkonijn)"
"Random-AccessMemory(RAM)","IngatanCapaianRawak","MemoriAksesAcak"
"rape","rogol","perkosa"
"raspberry","rasberi","frambus,frambosen(fromDutchframboos)"
"ratio","nisbah","rasio,nisbah,perbandingan"
"reaction(chemical)","tindakbalaskimia","reaksikimia"
"Read-OnlyMemory(ROM)","IngatanBacaSahaja","MemoriHanyaBaca"
"realestate","hartanah","realestat,propertitanah"
"receipt","resit,penerimaan","kuitansi,kwitansi(substandard,fromDutchkwitantie),resi,bonfromDutch,struk"
"recession(economy)","kemelesetan(InIndonesian,itmeans""mishit"")","resesi,kelesuan(ekonomi)"
"reclamation","tebusguna","reklamasi"
"recruitment","pergerakan(InIndonesian,itmeans""movement""),pengambilan(InIndonesian,itmeans""taking"")","perekrutan,rekrutmen"
"refraction","pembiasan","pembiasan,refraksi"
"refrigerator","petisejuklit.coolbox(rarelyusedinIndonesian)","lemaries,lemaripendingin(lit.coolercloset),kulkas(fromDutchkoelkast)"
"religion","agama,ugama(widelyusedbeforethe80s)","agama,kepercayaan"
"renovation","pengubahsuaian","renovasi"
"reproduction","pembiakan","reproduksi,pembiakan(alsomeans""breeding"")"
"research","kajian(meansresearchorinvestigationresultinIndonesian)","penelitian,riset"
"responsibility","tanggungjawab","tanggungjawab,pertanggungjawaban"
"resistor","perintang","resistor,hambatan,perintang"
"restaurant","kedaimakanlit.""eatingshop"",restoran","rumahmakanlit.""eatinghouse"",warungmakanlit.""eatingcafé"",restoran"
"retailing","peruncitan","ritel,eceran"
"ring(mathematics)","gelanggang","ring,gelanggang"
"rob","rompak(Indonesianfor""tocommitpiracy"")","rampok,rampas"
"Rome","Rom","Roma"
"Roman(demonym)","Rom","Romawi"
"room","bilik(usuallymeans""compartment""inIndonesian)","kamar(fromDutchkamer),ruang(Javanese,forstorageareasetc.)"
"roundabout(traffic)","bulatane.g.BulatanDatoOnninKualaLumpurpusingkeliling(inBrunei)","bundarane.g.BundaranHIinJakarta"
"routing","penghalaan","penghalaan"
"royal","diraja","kerajaan(inMalaysiaandBruneimeans""kingdom""or""government"")"
"rubber","getahmayalsomeangumorsaporresininbothlanguages,alsofigureofspeechfor""causeofbaddeed""","karet"
"rumour","khabarangin,desas-desus","rumor,desas-desus,kabarangin,kabarburung"
