"ResearchNetworkingTool","InteroperabilitywithInstitutionalEnterpriseSystems","InteroperabilitywithExternalSystems","IntegrationwithAdd-onComponentsorProducts","Regional,National,InternationalorFederatedConnectivity?"
"AcademicRoom","No","unknown","unknown","Thesystemisvoluntary,sonationalandinternationalbyactiveinclusion"
"ActivityInsight","Yes(Banner,Datatel,PeopleSoft,CampusVue,Jenzabar,etc.)","Yes(GoogleScholar,Scopus,WebofScience,RefWorks,etc.)","Yes(EndNote,Mendeley,Zotero,toolswhichgenerateBiBTeX,CSVorXMLfiles)","No"
"C-IKNOW","No","Yes(ispossible)","Unknown","No"
"PROFILESbyMentis(formerlyCollaborativePartnership/ProfileSystem)","Yes","Yes(hasAPI,workswithElsevierPURE,ActivityInsight,VIVOetc.)","Yes(fundingopportunitiesfromgrants.gov)","Yes(NationalandInternational)"
"CommunityAcademicProfiles-CAP","Yes","Yes","Yes","No"
"Converis","Yes-Bi-directionalandonewayintegrationswithinstitution'senterprisesystemsavailableeitherthroughAPIsorKettle.","Yes-StandardintegrationswithWebofScience,EndNote,Kopernio,InCites,EuroPMC,ResearchProfessional,iThenticate,VIVO,Scopusandothers.IndividualintegrationsneededforspecificinstitutionscanalsobeconfiguredviaAPIsorKettle.","Yes-IntegrateswithPentahoDataIntegration,InCitesandVIVO","Yes"
"CurvitaProfileManager","Yes","Yes","Unknown","No"
"CUSP-ColumbiaUniversityScientificProfiles","No","YesPubMedonly","Unknown","No"
"DigitalVita","No","Yes(onlyPubMed)","Unknown","YesNationalfederatedconnectivitythroughDIRECT2Experts"
"Elsevier'sPure","YesinstitutionshaveaccesstoWebServicesinordertofeeddataintointernaldatabases;WebServicescanbeconsumedasdirectedbyinstitution.Purecurrentlyingestsarangeofdatafrominstitutions'ownsystems,includinggrantsdata,HRdata,institutionalrepositories,publicationdatabases,booklistingsandmore.","YesScopus,PubMed,NIHRePORTER,Embase,Mendeley,arXiv,Worldcat,CrossRef,JournalTOC,CABAbstracts,SAO/NSAAstrophysicsDataSystem,WebofScience,institution'sinternaldatabases,includingHRdata,grants,publications,patents,etc.","YesPureintegrateswithSciValtoalloweasyanalysisofyourresearcherimpactwiththebenchmarkcapabilitiesofSciVal.","YesThePureCommunityModuleinterconnectsparticipatinginstitutionsintoasinglecentralizedPureinstance.Additionalfunctionalityenablesuserstosearchacrossdifferentinstitutionsorruncross-campusreports[2]"
"Elsevier'sSciVal","Yes(InstitutionshaveaccesstotheAPIwithScopusdatainordertofeeddataintointernaldatabases.)","Yes(IntegrateswithPure.)","Yes(Scopus&ScienceDirect)","No"
"EpernicusSolutions&EpernicusNetwork","Yes(Possible,forEpernicusSolutions)","No","Unknown","No"
