"English","StandardMalay","Indonesian"
"backpack","begsandang(lit.""slingbag"")","ransel(fromDutch),taspunggung"
"backstage(ofatheaterorstudio)","belakangtabir","belakanglayar(lit.""backscreen/behindthescreen""),belakangpanggung"
"bag","beg","tas(fromDutch)"
"baseband","jalurasas","pitadasar"
"basin(washbasin/sink)","besen","wastafel(fromDutch,lit.washingtable)"
"basket(ball)","bolakeranjang","bolabasket"
"basket(general)","bakul","keranjang,bakul"
"because","kerana,sebab","karena,sebab"
"bed","katil","matrasinfluencedbyDutchmatras,tempattidur,ranjang,kasur"
"Belgium","Belgium","BelgiainfluencedbyDutchBelgië"
"Belgrade","Belgrade","BeogradinfluencedbySerbianБеоград"
"belt(ofaseat)","talikeledar","sabuk,ikatpinggang"
"bicycle","basikal","sepeda(influencedbyFrenchvelocipede)"
"bill(legislation)","rangundang-undang","rancanganundang-undang,legislasi"
"billboard","papaniklan","baliho(supposedlyfromEnglishballyhoo(inEnglishitmeansextravagantpublicityorfuss))papaniklan,papanreklamefromDutchreclame(advertisement)"
"billion","seribujuta,bilion","miliar(fromDutchmiljard),milyar(informalbutfrequentlyused)"
"binary","perduaan","biner(fromDutchbinaire)"
"bishop","biskop,bisyop","uskup"
"board(company)","lembaga'agency'inIndonesian","dewan"
"border","sempadan","1.perbatasan2.sempadan(usedassetbackforlanduse)"
"bonnet,hood(ofacar)","bonet,bumbung,hud","kapfromDutch"
"boot,trunk(ofacar)","but","bagasi"
"Borneo","Borneo","Kalimantan"
"Britain","Britain","Britania(fromLatin:Britannia)"
"Brussels","Brussels","Brussel(influencedbyDutch)"
"Bucharest","Bucharest","Bukarest"
"bucket;pail","baldi","emberfromDutchemmer"
"bus","bas","bus,bisnonstandard,influencedbyDutchpronunciation"
"busstation","stesenbas","terminalbus(frequentlypronouncedasterminalbisasitisderivedfromDutchpronunciationofbus)"
"busstop","perhentianbas","1.pemberhentianbus,2.haltebusfromDutchbushalte"
"business","perniagaan,bisnes","perniagaan(lesscommonlyused),bisnis"
