"Firewall","License","Costandusagelimits","OS"
"AvastInternetSecurity","Proprietary","Paid","MicrosoftWindows"
"ComodoInternetSecurity","Proprietary","Free","Windows10/8.1/8/7/Vistax86/x64,XPx86"
"GDataInternetSecurity","Proprietary","Paid","Windows10/8.1/8/7"
"IntegoVirusBarrier","Proprietary","Paid","MacOSX10.5orlater;onanXserve"
"IPFilter","GPLv2","Free","PackageformultipleUNIX-likeoperatingsystems"
"ipfirewall","BSD","Free","*BSDpackage"
"KasperskyInternetSecurity","Proprietary","Paid/30daytrial","Windowsunknownversionsx86/x64"
"LavasoftPersonalFirewall","Proprietary","Paid","Windowsunknownversionsx86/x64"
"MicrosoftForefrontThreatManagementGateway","Proprietary","Discontinued","Windowsunknownversionsx64"
"Netfilter","GPL","Free","Linuxkernelmodule"
"NetLimiter","Proprietary","Paid","Windows10,8,7x64"
"nftables","GPL","Free","Linuxkernel(>=3.13)module"
"Norton360","Proprietary","Paid","Windowsunknownversionsx86/x64"
"NPF","BSD","Free","NetBSDkernelmodule"
"PF","BSD","Free","*BSDkernelmodule"
"OnlineArmorPersonalFirewall","Proprietary","Discontinued","Windowsunknownversionsx86/x64"
"OutpostFirewallPro","Proprietary","Discontinued","Windows10,8,7,Vista,XPx86/x64"
"PCToolsFirewallPlus","Proprietary","Discontinued","Windowsunknownversionsx86/x64"
"PeerBlock","GPL","Free","Windows8/8.1,7,Vistax86/x64"
"Shorewall","GPL","Free","Linux-basedappliance"
"SygatePersonalFirewall","Proprietary","Discontinued","Windowsunknownversionsx86"
"WindowsFirewall","Proprietary","IncludedwithWindowsXPSP2andlater","Windowsversionsx86/x64"
"ZoneAlarm","Proprietary","Free/Paid","Windows10/8.1/8/7/Vistax86/x64,XPx86"
