"Fileextension(s)","MIMEtype","Officialname","Creationplatform","Restorationplatform","Restorablewithfreesoftware","Description"
".7z","application/x-7z-compressed","7z","Multiple","Multiple","Yes","Opensourcefileformat.Usedby7-Zip."
".s7z","application/x-7z-compressed","7zX","macOS","macOS,restorationondifferentplatformsispossiblealthoughnotimmediate","Yes","Basedon7z.PreservesSpotlightmetadata,resourceforks,owner/groupinformation,datesandotherdatawhichwouldbeotherwiselostwithcompression.MadeobsoletebytheintroductionofAppleDouble-encoded7zarchives(Macintoshonly)."
".ace","application/x-ace-compressed","ACE","Windows","Multiple","Yes","Proprietaryformat"
".afa","application/x-astrotite-afa","AFA","UNIX-like","UNIX-like","No","Aformatthatcompressesanddoublyencryptthedata(AES256andCAS256)avoidingbruteforceattacks,alsohidefilesinanAFAfile.Ithastwowaystosafeguarddataintegrityandsubsequentrepairofthefileifhasanerror(repairwithAstroA2P(online)orAstrotite(offline))."
".alz","application/x-alz-compressed","ALZip","Windows","Multiple","Yes","AmainlyKoreanformatdesignedforverylargearchives."
".apk","application/vnd.android.package-archive","APK","Multiple","Multiple","Yes","Androidapplicationpackage(variantofJARfileformat)."
".arc,.ark","application/octet-stream","ARC","Multiple","Multiple","Yes","VerypopularintheearlydaysofBBSes,oneofthefirsttooffercompressionandarchivinginasingleprogram.LargelyreplacedbyPKZIP."
".arc,.cdx","application/x-freearc","FreeArc","Windows,Linux","Windows,Linux","Yes","OpensourcefileformatdevelopedbyBulatZiganshin.A""FreeArcNext""versionisunderdevelopmentwhichincludesZstandardsupport."
".arj","application/x-arj","ARJ","OriginallyDOS,nowmultiple","Multiple","Yes","CompetitortoPKZIPinthe1990s,offeredbettermulti-partarchivehandling."
".b1","application/x-b1","B1","Multiple","Multiple","Yes","Openarchiveformat,usedbyB1FreeArchiver(http://dev.b1.org/standard/archive-format.html)"
".b6z","","B6Z","macOS","Multiple","Yes","CompressedarchiveformatB6Zip"
".ba","","Scifer","Multiple","Multiple","Yes","BinaryArchivewithexternalheader"
".bh","","BlakHole","","","Yes","ProprietaryformatfromtheZipTVCompressionComponents"
".cab","application/vnd.ms-cab-compressed","Cabinet","Windows","Multiple","Yes","TheMicrosoftWindowsnativearchiveformat,whichisalsousedbymanycommercialinstallerssuchasWISE."
".car","","Compressiaarchive","OriginallyDOS,nowDOSandWindows","OriginallyDOS,nowDOSandWindows","Yes","CreatedbyYaakovGringeler;releasedlastin2003(Compressia1.0.0.1beta),nowapparentlydefunct.Freetrialof30daysletsusercreateandextractarchives;afterthatitispossibletoextract,butnottocreate."
".cfs","application/x-cfs-compressed","CompactFileSet","Windows,Unix-likeincludingmacOS","Multiple","Yes","Opensourcefileformat."
".cpt","","CompactPro","ClassicMacOS","Multiple","Yes","CompactProarchive,acommonarchiverusedonMacplatformsuntilaboutMacOS7.5.x.CompetedwithStuffIt;nowobsolete."
".dar","application/x-dar","DiskArchiver","Unix-likeincludingmacOS","Unix-likeincludingmacOS,Windows","Yes","Opensourcefileformat.Filesarecompressedindividuallywitheithergzip,bzip2orlzo."
".dd","","DiskDoubler","ClassicMacOS","","","obsolete"
".dgc","application/x-dgc-compressed","DGCA","Windows","Windows","",""
".dmg","application/x-apple-diskimage","AppleDiskImage","macOS","macOS,Windows,Linux","Yes","Supports""Internet-enabled""diskimages,which,oncedownloaded,areautomaticallydecompressed,mounted,havethecontentsextracted,andthrownaway.Currently,Safariistheonlybrowserthatsupportsthisformofextraction;however,theimagescanbemanuallyextractedaswell.Thisformatcanalsobepassword-protectedorencryptedwith128-bitor256-bitAESencryption."
".ear","","EAR","Multiple","Multiple","Yes","EnterpriseJavaArchivearchive"
".gca","application/x-gca-compressed","GCA","","","","ThepredecessorofDGCA."
".genozip","","Genozip","Linux,macOS,Windows","Linux,macOS,Windows","No","Optimizedfor(butnotlimitedto)genomicfiletypessuchasFASTQ,BAM,VCF"
".ha","","[2]","OriginallyDOS","OriginallyDOS","Yes,butmaybecoveredbypatents","DOSeraformat;usesarithmetic/Markovcoding"
".hki","","WinHKI","MSWindows","MSWindows","No","HKI"
".ice","","ICE","Windows","Windows","Yes","ProducedbyICEOWSprogram.Excelsattextfilecompression."
".jar","application/java-archive","JAR","Multiple","Multiple","Yes","Javaarchive,compatiblewithZIPfiles"
".kgb","","KGBArchiver","Multiple","Multiple","Yes","OpensourcedarchiverwithcompressionusingthePAQfamilyofalgorithmsandoptionalencryption."
".lzh,.lha","application/x-lzh","LHA","OriginallyDOS,nowmultiple","Multiple","Yes","ThestandardformatonAmiga."
".lzx","application/x-lzx","LZX","Amiga","","","ArchiveroriginallyusedonTheAmiga.NowcopiedbyMicrosofttouseintheir.caband.chmfiles."
".pak","","PAK","HPNonStop","HPNonStop","Yes","fileformatfromNoGateConsultings,arivalfromARC-Compressor..pakwasalsobrieflyusedbytheshortlivedMSDOSPKPAKprogram."
".partimg","","PartImage","Multiple","Multiple","Yes","Adiskimagearchiveformatthatsupportsseveralcompressionmethodsaswellassplittingthearchiveintosmallerpieces."
".paq6,.paq7,.paq8andvariants","","PAQ","Unix-likeandWindows","Unix-likeandWindows","Yes","Anexperimentalopensourcepackager(http://mattmahoney.net/dc)"
".pea","","PeaZip","LinuxandWindows","LinuxandWindows","Yes","Opensourcearchiversupportingauthenticatedencryption,cascadedencryption,volumespanning,customizableobjectlevelandvolumelevelintegritychecks(formCRCstoSHA-512andWhirlpoolhashes),fastdeflatebasedcompression"
