"DVR","Subscriptionfreeelectronicprogramguide(EPG)","Powermanagement","MultipleTVtunercardssupport","CableCARDsupport","CAMsupport","ATSCtunersupport","Automatedcommercialskipping","Teletext","Scheduletimedrecordings","Personalizedintelligentrecordingandscheduling","DRMsupport","DVB(T/T2,S/S2,C)tunersupport","Smartphone/tabletplayback","Smartphone/tabletsyncing","Smartphone/tabletremotecontrol"
"BeyondTV","Yes","Yes","Yes","No","?","Yes","Yes","No","Yes","Yes","No","No","?","?","?"
"EyeTV","DVB;otherguideinfovariesbyregion","Yes","Yes","No","?","Yes","Externaladd-on","Yes","Yes","Yes","Yes","Yes","?","?","?"
"WinTV","Yes","Yes","Yes","Limited","?","Yes","No","Yes","Yes","Yes","No","Yes","Yes","?","?"
"Kodi(formerlyXBMC)","Yes","Yes","Externaladd-on","Externaladd-on","Externaladd-on","Externaladd-on","Yes","Externaladd-on","Externaladd-on","Externaladd-on","Externaladd-on","Externaladd-on","UsingPlugin","UsingPlugin","UsingApps"
"NextPVR","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","?","?"
"MediaPortal","DVB/XMLTV","Yes","Yes","Partial","Supportedonsomespecificcards","Yes","UsingPlugin","Yes","Yes","Yes","Partialsupport","Yes","Yes","?","Yes"
"MediaPhoenix/ShowShifter","DVB","Unknown","Yes","No","?","Unknown","No","No","Yes","Yes","Unknown","Yes","No","No","No"
"MythTV","DVB;otherservicesregiondependent","Yes","Yes","Limited","Yes","Yes","Yes","Yes","Yes","Requiresexternaladd-on","No","Yes","Yes","No","Yes"
"SageTV","Yes(withformerpurchasedlicense)","Yes","Yes","PartialUsingPlugin","?","Yes","UsingPlugin","No","Yes","Yes","No","?","?","?","?"
"VideoDiskRecorder","Yes","Yes","Yes","No","Yes","Yes","No","UsingPlugin","Yes","UsingPlugin","No","Yes","UsingPlugin","No","UsingPlugin"
"WindowsMediaCenter","Yes","Yes","Yes","Yes","?","Yes","Externaladd-on","Yes","Yes","Yes","Yes;alsorespects""donotrecord""flag","SupportsDVB-T/T2andDVB-S/S2;doesnotsupportDVB-C","Yes","Yes","Yes"
"VBox@TV","DVBGuideinfovariesbybroadcasterandTVserviceprovider","No","Yes","No","Yes","Yes","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes"
