"English","Malay","Indonesian"
"naked","bogel,telanjang","telanjang,bugil(colloquial)"
"natural","semulajadi","alami,natural"
"navigation","panduarah,navigasi","navigasi"
"navy","tenteralaut","angkatanlaut"
"negotiation","perundingan","perundingan,negosiasi"
"network","rangkaian(meanscircuitinIndonesian)","jaringan,jejaring"
"NewZealand","NewZealand","SelandiaBaru(influencedbyDutch:Zeeland;orfromLatin:Zeelandia)"
"newspaper","suratkhabarcoinedfromtwoArabicwords:ṣūrat–صورة/صورت(form,appearance)andkhabarخبر(news)","suratkabar(moreformal–lit.newsletter),koran(fromFrenchcourantthroughDutch,KrantinmodernDutch,butKoerantinAfrikaans)"
"Nicosia","Nicosia","Nikosia"
"nil","nil","nolfromDutchnul"
"noisy","bising,kecohinIndonesianmeans""disturb""or""distract"",memekak","berisik,ribut,ramai,bising,bacot(colloquial,slightlyoffensive)"
"Norway","Norway","Norwegia"
"number","nombor","angka,nomor(substandardformfromDutch/Germannummer)"
"nurse","jururawat","perawat,susterfromDutchzuster,onlyforfemalenurse"
