"Distribution","Sizeofmedia(MB)","RAMuse(MB)","BootsfromCD","BootsfromDVD","InstallableliveCD/DVD","InstallablefromUSB"
"ArchLinux","742","minimum80","Yes","Yes","Yes","Yes"
"AUSTRUMI","301","","Yes","Yes","Yes","Yes"
"BLAGLinuxandGNU","696","?","Yes","No","?",""
"BodhiLinux","1,024","80","Yes","Yes","Yes","Yes"
"CentOS","603(Minimal)4,096(DVD)","","Yes","Yes","Yes(installablesince6.0)","Yes"
"Chakra","2,150","","No","Yes","Yes","Yes"
"ClearLinuxOS","?","?","?","?","?","?"
"Debian","958","","Yes","Yes","Yes","Yes"
"Devuan","868","","Yes","Yes","Yes","Yes"
"DragoraGNU/Linux-Libre","655","?","Yes","?","?","?"
"dyne:bolic","1,650","?","uptoversion2.x","Yes","?","?"
"Fedora","1,434","256to1,024","Yes","Yes","Yes","Yes"
"Gentoo","260(Minimal)2,048(LiveDVD)","upto128","Yes","Yes","Yes","Yes"
"gNewSense","1,200","512","?","?","Yes","?"
"Grml","460","32to128","Yes","No","Yes","Yes"
"GuixSystem","612","146","No","Yes","Yes","Yes"
"HyperbolaGNU/Linux-libre","1,124","?","uptoversion0.3.x","Yes","Yes","Yes"
"KnoppixCD","700","128to320","Yes","Yes","OnlyDVDeditionismaintained",""
"KnoppixDVD","4,813","128to500","No","Yes","",""
"LibreCMC","?","?","No","No","No","No"
"MandrivaLinuxOne","700","128to768","Yes","Yes","Yes","Yes"
"ManjaroLinux","473to2,200","256to1,024","Yes","Yes","Yes","Yes"
"MEPIS","700to4,000","128to512","Yes","Yes","Yes","Yes"
"MusixGNU+Linux","2,000","?","No","Yes","Yes","Yes"
"Nanolinux","18","?64","Yes","Yes","Yes","Yes"
"openGEU","700","192to512","Yes","","Yes",""
"openSUSE(Not42.1)","700","128to768","Yes","Yes","Yes","Yes"
"OpenWrt","min4","min16","No","No","No","No"
"ParabolaGNU/Linux-libre","400to3,300","?","Yes","Yes","Yes","Yes"
"Pardus","1,256to1,276","256to1,024","Yes","Yes","Yes","Yes"
"PCLinuxOS","130to700","96to512","Yes","Yes","Yes","Yes"
"Pentoo","666and700","48to96","Yes","Yes","Byhand","Byhand"
"Porteus","224to373","min36","?","?","Yes","Yes"
"PuppyLinux(Slacko)","235","32to192","Yes","Yes","Yes","Yes"
"Puredyne","542","","Yes","Yes","Yes","Yes"
"SabayonLinuxLiveCD","695","","Yes","Yes","Yes","Yes"
"SabayonLinuxLiveDVD","2,400","","No","Yes","Yes","Yes"
"ScientificLinux","431to2,300","640","Yes","Yes","Yes","Yes"
"Slackware","2,600","64to1,024","Yes","Yes","Yes","Yes"
"Slax","200","96to320","Yes","Yes","","Yes"
"Solus","1,200","1,024","No","Yes","Yes","Yes"
"SystemRescueCD","459","","Yes","Yes","Yes","Yes"
"SliTazGNU/Linux","50","48to256","Yes","Yes","Yes","Yes"
"Tails","?900","?1,024","No","Yes","Yes","Yes(whenrunfromDVD)"
"TinyCoreLinux","16","46","Yes","Yes","Yes","Yes"
"TinySliTaz","1.44","4","Yes","Yes","BySliTaz","BySliTaz"
"Trisquel","1,500","384","Yes","Yes","Yes","Yes"
"TurnKeyGNU/LinuxCore(base)applianceISO","212","~173","Yes","Yes","Yes","Yes"
"Ubuntu","1,700","384","Yes","Yes","Yes","Yes"
"Ututo","3,500","?","No","Yes","Yes","?"
"Edubuntu","2,900","","Yes","Yes","Yes",""
"Kubuntu","1,400","384","Yes","Yes","Yes","Yes"
"XBMCLive","700","256to1,024","Yes","No","Yes","Yes"
"Zentyal","600","256","Yes","Yes","Yes","Yes"
"Xubuntu","1,200","256","Yes","Yes","Yes","Yes"
"Distribution","Sizeofmedia(MB)","RAMuse(MB)","BootsfromCD","BootsfromDVD","InstallableliveCD/DVD","InstallablefromUSB"
