"Platform","Features","Toolkit","Toolkit","Features","Features","Features","Features","Features","Features","Platform","Platform","Features","Toolkit","PrologMechanics"
"Name","OS","Licence","NativeGraphics","CompiledCode","Unicode","ObjectOriented","NativeOSControl","StandAloneExecutable","CInterface","JavaInterface","InteractiveInterpreter","Debugger","CodeProfiler","Syntax"
"AllegroProlog","Unix,Windows,MacOSX","Commercial,limitedfreeeditionavailable","","Yes","Yes","Yes","Yes,viaLisp","Yes","Yes,viaLisp","Yes,viaLisp","Yes","Yes","Yes,viaLisp","S-expressions.FullCommonLispintegration."
"BProlog","Unix,Windows,MacOSX","Freefornon-commercialuses","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ISO-Prolog,plusevent-handling,CLP(FD),andtabling"
"Ciao","Unix,Windows,MacOSX","GPL,LGPL","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ISO-Prolog,plusextensions"
"DOS-PROLOG","MS-DOS","Shareware","Yes","Yes","Yes","","Yes","Yes","","","","Yes","","EdinburghProlog"
"ECLiPSe","Linux,Windows,Solaris,macOS","MPL","","Yes","","","Yes","","Yes","Yes","Yes","Yes","Yes","ExtendedProlog,Multi-dialect,includingISO"
"GNUProlog","Unix,Windows,MacOSX","GPL,LGPL","","Yes","","","Yes","Yes","Yes","","Yes","Yes","","ISO-Prolog"
"JIProlog","JVM,Android","Shareware/CommercialandAGPL","Yes","","Yes","","YesviaJava","Yes","YesviaJava","Yes","Yes","Yes","","ISO-Prolog"
"JLog","JVM","GPL","Yes","Yes","","","","","","Yes","Yes","","","ISO-Prolog"
"JScriptLog","WebBrowser","GPL","","","","","","","","","Yes","","","ISO-Prolog"
"jTrolog","JVM","LGPL","","","Yes","","","","","Yes","Yes","Yes","","ISO-Prologtests"
"LPA-PROLOG","Windows","Commercial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","EdinburghPrologwithextensions"
"OpenProlog","MacOS","Freeware","","","","","","","","","","Yes","",""
"PoplogProlog","Linux(32-and64-bit),Unix,Windows","FreeOpenSource","OnlythroughPOP-11,onLinux","Yes","","","Yes","Yes","Yes","","Yes","Yes","","EdinburghProlog,withinterfacestoPoplogCommonLispandPop-11"
"SICStusProlog","Unix,Linux,Windows,macOS","Commercial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ISO-Prolog"
"StrawberryProlog","Windows,Unix","Freeware,Commercial","Yes","Yes","Yes","","","Yes","","","","Yes","","NotISO-Prolog+extensions"
"SWI-Prolog","Unix,Linux,Windows,macOS","BSDLicense","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ISO-Prolog,EdinburghProlog"
"tuProlog","JVM,Android","LGPL","Yes","","Yes","","","","Yes","Yes","Yes","Yes","","ISO-Prolog"
"VisualProlog","Windows","Freeware,Commercial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes",""
"XSBProlog","Linux,Windows,Solaris,macOS","LGPL","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ISO-Prolog,tabledWFS"
"YAP-Prolog","Linux,Windows,Solaris,MacOSX,HP-UX","GPLorArtistic(userchoice)","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Edinburgh,ISO-Prolog,QuintusandSICStusPrologcompatible"
