"Driver","802.11","Businterface","WEP","WPA","WPA2","Monitormode","Mastermode","Ad-Hocmode"
"acx","802.11a?,802.11b,802.11g","Cardbus,PCI","Yes","?","?","?","?","Yes"
"an","802.11b","Cardbus,PCI,ISA","Yes","?","?","?","?","Yes"
"arl","N/A","ISA","?","?","?","?","?","?"
"ath","802.11a,802.11b,802.11g,802.11n","Cardbus,PCI,MiniPCI","Yes","Yes","Yes","Yes","Yes","Yes"
"awi","N/A","PCCard","?","?","?","?","Yes","Yes"
"bwi","802.11b,802.11g","Cardbus,PCI","Yes","Yes","Yes","Yes","No","No"
"cnw","N/A","Cardbus","?","?","?","?","?","?"
"ipw","802.11b","MiniPCI","Yes","Yes","Yes","Yes","No","Yes"
"iwi","802.11a,802.11b,802.11g","MiniPCI","Yes","Yes","Yes","Yes","No","Yes"
"iwn","802.11a,802.11b,802.11g,802.11n","MiniPCI","Yes","Yes","Yes","Yes","No","No"
"malo","802.11b,802.11g","PCI","Yes","Yes","Yes","Yes","No","No"
"mwl","802.11a,802.11b,802.11g,802.11n","PCI","Yes","Yes","Yes","Yes","Yes","No"
"ral","802.11a,802.11b,802.11g","Cardbus,PCI,MiniPCI","Yes","Yes","Yes","Yes","Yes","Yes"
"ray","N/A","PCCard","?","?","?","No","No","Yes"
"rum","802.11a,802.11b,802.11g","USB","Yes","Yes","Yes","Yes","Yes","Yes"
"run","802.11a,802.11b,802.11g","USB","Yes","Yes","Yes","Yes","Yes","Yes"
"uath","802.11b,802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"upgt","802.11b,802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"ural","802.11b,802.11g","USB","Yes","Yes","Yes","Yes","Yes","Yes"
"urtw","802.11b,802.11g","USB","Yes","Yes","Yes","Yes","No","No"
"wi","802.11b","PCCard,Cardbus,PCI","Yes","Yes(since8.0)","Yes(since8.0)","Yes(since8.0?)","Yes","Yes"
"wpi","802.11a,802.11b,802.11g","MiniPCI","Yes","Yes","Yes","Yes","No","Yes"
"zyd","802.11b,802.11g","USB","Yes","Yes","Yes","Yes","No","No"
