"Client","Windows","macOS","Linux","BSD","Solaris","Android","iOS","Other"
"Akregator","No","?","Yes","Yes","Yes","No","No","No"
"Amarok","Yes","Yes","Yes","Yes","Yes","No","No","No"
"AOLExplorer","Yes","No","No","No","No","No","No","No"
"Avant","Yes","No","No","No","No","No","No","No"
"Awasu","Yes","No","No","No","No","No","No","No"
"BlogBridge","Yes","Yes","Yes","No","No","No","No","No"
"Canto","No","No","Yes","No","No","No","No","No"
"ClawsMail","Yes","Yes","Yes","Yes","Yes","No","No","Maemo"
"CommaFeed","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Clientside:everyplatformwithawebbrowserServerside:everyplatformwithJava"
"Cooliris","Yes","Yes","No","No","No","No","No","No"
"FeedViewer","Yes","No","No","No","No","No","Yes","WindowsPhonedropped"
"FeedDemon","Yes","No","No","No","No","No","No","No"
"Feedreader","Yes","No","No","No","No","No","No","No"
"Flock","Yes","Yes","Yes","Yes","No","No","No","No"
"Gnus","Yes","Yes","Yes","Yes","Yes","Yes","No","DOS"
"IBMLotusNotes","Yes","Yes","Yes","No","No","No","No","No"
"Inoreader","Yes","Yes","Yes","No","No","Yes","Yes","No"
"InternetExplorer","Included","No","No","No","No","No","No","No"
"iTunes","Yes","asPodcastsapp","No","No","No","No","No","No"
"Juice","Yes","Yes","No","No","No","No","No","No"
"K-Meleon","Yes","No","No","No","No","No","No","No"
"Kazehakase","No","No","Yes","Yes","No","No","No","No"
"Liferea","No","No","Yes","Yes","No","No","No","No"
"AppleMail","No","Included","No","No","No","No","No","No"
"Maxthon","Yes","No","No","No","No","No","No","No"
"MediaMonkey","Yes","No","No","No","No","No","No","No"
"MicrosoftOfficeOutlook","Yes","Yes","No","No","No","No","No","WindowsMobile"
"MozillaFirefox","Add-on","Add-on","Add-on","Add-on","No","No","No","No"
"MozillaThunderbird","Yes","Yes","Yes","Yes","No","No","No","No"
"NetNewsWire","No","Yes","No","No","No","No","Yes","No"
"NetscapeBrowser","Yes","No","No","No","No","No","No","No"
"NetscapeNavigator9","Yes","Yes","Yes","No","No","No","No","No"
"NewsBlur","Webbased","Webbased","Webbased","Webbased","Webbased","Yes","Yes","everyplatformwithawebbrowser"
"Newsbeuter","No","Yes","Yes","Yes","No","No","No","Sourcecodeavailable"
"NewsFire","No","Yes","No","No","No","No","No","No"
"OmniWeb","No","Yes","No","No","No","No","No","No"
"OperaMail","Yes","Yes","Yes","Yes","Dropped","No","No","BeOS,QNX,OS/2"
"PegasusMail","Yes","No","No","No","No","No","No","No"
"Protopage","Webbased","Webbased","Webbased","Webbased","Webbased","DedicatedWebApp","DedicatedWebApp","everyplatformwithaWebbrowser"
"Pulse","Webbased","Webbased","Webbased","Webbased","Webbased","DedicatedApp","DedicatedApp","everyplatformwithaWebbrowser"
"QuiteRSS","Yes","Yes","Yes","No","No","No","No","Sourcecodeavailable"
"Rhythmbox","No","No","Yes","Yes","Yes","No","No","No"
"RSSBandit","Yes","No","No","No","No","No","No","No"
"RSSGuard","Yes","Yes","Yes","Yes","No","No","No","SupportsOS/2startingwithversion3.9.1."
"RSSOwl","Yes","Yes","Yes","Yes","Yes","Yes","No","everyplatformwithJavaandSWT"
"Safari","Yes","Included","No","No","No","No","No","No"
"Sage","Yes","Yes","Yes","No","No","No","No","No"
"SeaMonkeyMail&Newsgroups","Yes","Yes","Yes","Yes","No","No","No","No"
"Shiira","No","Yes","No","No","No","No","No","No"
"Sleipnir","Yes","No","No","No","No","No","No","No"
"Songbird","Yes","Yes","Yes","No","Yes","No","No","No"
"TheBat!","Yes","No","No","No","No","No","No","No"
"TheOldReader","Webbased","Webbased","Yes","Webbased","Webbased","Multipleapps","Multipleapps","WindowsPhone,Symbian,WebOS,FirefoxOS"
"TinyTinyRSS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","everyplatformwithawebbrowser"
"Winamp","Yes","No","Obsolete","No","No","No","No","No"
"WindowsLiveMail","Yes","No","No","No","No","No","No","No"
"Zimbra","Yes","Yes","Yes","Yes","No","No","No","No"
"Zune","Yes","No","No","No","No","No","No","WindowsMobile"
"Client","Windows","macOS","Linux","BSD","Solaris","Android","iOS","Other"
