"Intent","ALGOL68","C++"
"Defineaconstant","intx=888;","constintx=888;"
"Initialiseavariable","intx:=888;","intx=888;"
"Assignavalue888toavariablex","x:=888;","x=888;"
"Comparetwovalues","ifx=888then...fi","if(x==888){...}"
"Allocateavariablefromtheheap","refintx=heapint;orsimply:heapintx;","int*x=newint;"
"Compareaddressoftwopointers","refintx,y;ifx:=:ythen...fi","int*x;int*y;if(x==y){...}"
"Comparevaluereferencedbytwopointers","refintx,y;ifx=ythen...fi","int*x;int*y;if(*x==*y){...}"
"Nameanewtype","modelongreal=longreal;","typedefdoublelongreal;or(asofC++11):usinglongreal=double;"
"Nameanewrecordtype","modecust=struct(stringname,address);","structcust{std::stringname,address;};"
"Nameanewuniontype","modetaggedu=union(strings,realr);","unionu{std::strings;floatf;};"
"Nameaprocedureorfunction","procf=(realx)real:(code;result);","floatf(floatx){code;returnresult;}"
"Proceduredefaultparameters","procp=(union(real,void)inx)void:(realx=(inx|(realx):x|888);code);","voidp(floatx=888){code;}"
"Nameanewoperator","op?=(realx,y)real:x**y;","N/A"
"Setpriorityonanewoperator","prio?=9;","N/A"
"Chainvariablesassignment","a:=b:=c:=d;","a=b=c=d;"
"Displacementoperator-ALGOL68Conly","a:=:=b:=:=c:=:=d;","a=b;b=c;c=d;"
"Append""substr""toavariablestr","str+:=""substr"";","str+=""substr"";"
"Prefix""substr""toavariablestr","""substr""+=:str;","str=""substr""+str;"
