"IDE","Developer","Lateststablerelease","Platform","License","Writtenin"
"Anjuta","AnjutaTeam","3.28.0/March11,2018","Unix-like","GPL","C"
"Atom","GitHub(subsidiaryofMicrosoft)","1.33.1/December19,2018","Cross-platform","MITLicense","JavaScript"
"Brackets","Adobe","September2017","Cross-platform","MITLicense","JavaScript,HTML,CSS"
"AptanaStudio","Aptana,Inc.","December2013","Cross-platform","GPL,proprietary","Java,JavaScript"
"Codeanywhere","Codeanywhere,Inc.","August2015","CloudIDE","Proprietary","JavaScript"
"CodeLite","CodeLite","October2015","Cross-platform","GPL","C++"
"EclipseWebTools","EclipseFoundation","","Windows,Linux,macOS,FreeBSD,JVM,Solaris","EPL","C,Java"
"KomodoIDE/Edit","ActiveState","November19,2013","Cross-platform","IDE:Proprietary,Edit:MPL1.1","C,C++,JavaScript,Perl,Python,Tcl,XUL"
"NetBeans","Oracle","12.6(29November2021)[±]","Cross-platform","ApacheLicense","Java"
"NodeclipseNTS","Nodeclipse","March31,2014","Windows,Linux,macOS,FreeBSD,JVM,Solaris","EPL","Java"
"NuSpherePhpED","NuSphere","June2011","Windows","Proprietary","N/A"
"OracleJDeveloper","OracleCorporation","July2013","Windows,Linux,macOS","Proprietary–free","Java"
"Servoy","ServoyDeveloperTeam","June2011","Cross-platform","ServoyLicense","Java"
"SlickEdit","SlickEdit","October2016","Windows,Linux,macOS,Solaris,AIX,HP-UX","Proprietary","C++"
"VisualStudio","Microsoft","March31,2016","Windows","Proprietary","C++,C#"
"VisualStudioCode","Microsoft","1.49.0/September10,2020","Cross-platform","MITLicense","JavaScript"
"WebStorm","JetBrains","2019.1/25March2019","Cross-platform","Proprietary","Java"
