"Servername","License","Programminglanguage","RFC2616HTTP/1.1","RFC2617HTTPauth.","RFC2518WebDAV","RFC3253WebDAVvers.","RFC3744WebDAVACL","RFC4324iCalCAP","RFC4331WebDAVquota","RFC4709WebDAVmount","RFC4791CalDAV","RFC4918WebDAVext.","RFC5397WebDAVcurrentprincipal","RFC5545rev.iCal(AvailabilityCheck)","RFC5546iCaliTIP(GroupScheduling)","RFC5689WebDAVext.MKCOL","RFC5995WebDAVPOSTaddmember","RFC6352CardDAVvCard","RFC6578WebDAVsync","RFC6638CalDAVsched.(Auto-Schedule)","RFC7529iCalRSCALE","RFC7540HTTP/2","RFC7809CalDAVtimezonesbyref.","RFC7953iCalVAVAILABILITY","Free-busyURL"
"Baïkal","GNUGPL","PHP","Yes","Yes","Yes","No","Some","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Unknown","Yes","Unknown","Unknown","Yes"
"Bedework","Apache","Java","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"CalendarandContactsServer","Apache","Python","Yes","Yes","Yes","Yes","Yes","No","Unknown","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"Calypso","GNUGPL","Python","Yes","Yes","Yes","No","Unknown","No","Unknown","No","Yes","Yes","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"CyrusIMAP","BSD","C","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DAViCal","GNUGPL","PHP","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes"
"DavMail","GNUGPL","Java","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Fennel","GNUGPLv3","JavaScript","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Group-Office","AGPL,proprietary","PHP","Yes","Yes","Yes","Unknown","Some","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown"
"HordeGroupware","GNULGPL","PHP","Yes","Yes","Yes","No","Some","No","No","Unknown","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No","No","No"
"Nextcloud","AGPLv3","PHP","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown"
"OpenXchange","GNUGPL,CC","Java,JavaScript","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"ownCloud","AGPLv3","PHP","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown"
"Radicale","GNUGPL","Python","Yes","Yes","Some","No","Some","No","Unknown","No","Some","Some","Some","No","Some","No","Unknown","Some","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown"
"SabreDAV","BSD","PHP","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Unknown"
"SOGo","GNUGPL","Objective-C","Yes","Yes","Unknown","Unknown","Some","Unknown","Unknown","Unknown","Some","Unknown","Unknown","Some","Unknown","Unknown","Unknown","Unknown","Some","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Xandikos","GNUGPL","Python","Yes","Yes","Yes","Some","Some","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Unknown","Yes","No","No","Unknown"
"Zarafa","AGPL,proprietary","PHP","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Readonly","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown"
"Zentyal","GNUGPL","Perl","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Meishi","BSD","Ruby","Yes","Yes'basic'","Someyes","Someno","Yesmuchof","No","Unknown","No","No","Unknown","Yes","No","No","No","Unknown","Some","Unknown","No","No","Unknown","No","No","Unknown"
"Zimbra","GNUGPL","Java","Yes","Yes","Yes","Yes","Yes","No","Unknown","No","Yes","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
