"Language","Statementseparator-terminator","Secondaryseparator-terminator"
"ABAP","periodseparated",""
"Ada","semicolonterminated",""
"ALGOL","semicolonseparated",""
"ALGOL68","semicolonandcommaseparated",""
"APL","newlineterminated","[Direct_function?]separatedSecondary"
"AppleScript","newlineterminated",""
"AutoHotkey","newlineterminated",""
"BASIC","newlineterminated","colonseparated"
"Boo","newlineterminated",""
"C","semicolonterminatesstatements","commaseparatesexpressions"
"C++","semicolonterminatesstatements","commaseparatesexpressions"
"C#","semicolonterminated",""
"COBOL","whitespaceseparated,sometimesperiodseparated,optionallyseparatedwithcommasandsemi-colons.",""
"Cobra","newlineterminated",""
"CoffeeScript","newlineterminated",""
"CSS","semicolonseparated",""
"D","semicolonterminated",""
"Eiffel","newlineterminated","semicolon"
"Erlang","colonseparated,periodterminated",""
"F#","newlineterminated","semicolon"
"Fortran","newlineterminated","semicolon"
"Forth","semicolonsterminateworddefinitions.spaceterminatesworduse",""
"GFABASIC","newlineterminated",""
"Go","semicolonseparated(insertedbycompiler)",""
"Haskell(indo-notation)","newlineseparated",""
"Haskell(indo-notation,whenbracesareused)","semicolonseparated",""
"Java","semicolonterminated",""
"JavaScript","semicolonseparated(butsometimesimplicitlyinsertedonnewlines)",""
"Kotlin","semicolonseparated(butsometimesimplicitlyinsertedonnewlines)",""
"Lua","whitespaceseparated(semicolonoptional)",""
"MathematicaalsocalledWolfram","semicolonseparated",""
"MATLAB","newlineterminated","semicolonorcomma"
"MUMPSalsocalledM","newlineterminatesline-scope,theclosesttoa""statement""thatMhas.","aspaceseparates/teminatesacommand,allowinganothercommandtofollow."
"Nim","newlineterminated",""
"ObjectPascalalso(Delphi)","semicolonseparated",""
"Objective-C","semicolonterminated",""
"OCaml","semicolonseparated",""
"Pascal","semicolonseparated",""
"Perl","semicolonseparated",""
"PHP","semicolonterminated",""
"PickBasic","newlineterminated","semicolonseparated"
"PowerShell","newlineterminated","semicolonseparated"
"Prolog","commaseparated(conjunction),semicolonseparated(disjunction),periodterminated(clause)",""
"Python","newlineterminated","semicolon"
"R","newlineterminated","semicolon"
"Raku","semicolonseparated",""
"Red","whitespaceseparated",""
"Ruby","newlineterminated","semicolon"
"Rust","semicolonterminatesstatements","commaseparatesexpressions"
"Scala","newlineterminated(semicolonoptional)","semicolon"
"Seed7","semicolonseparated(semicolonterminationisallowed)",""
"Simula","semicolonseparated",""
"S-Lang","semicolonseparated",""
"Smalltalk","periodseparated",""
"StandardML","semicolonseparated",""
"Swift","semicolonseparated(insertedbycompiler)",""
"VisualBasic","newlineterminated","colonseparated"
"VisualBasic.NET","newlineterminated","colonseparated"
"WolframLanguage","semicolonseparated",""
"Xojo","newlineterminated",""
"Language","Statementseparator-terminator","Secondaryseparator-terminator"
