"Software","Networkable","Headphone-freesessions","Backgroundnoise","Embedaudio(sounds,music,hypnosis)","Volumemodulationforembeddedaudio","Exportassoundfile","User-createdsessions","Pre-madesessions"
"BeeOneSMOD/HMS","Yes(viaVST)","Yes","Yes(viaVST)","Yes(viaVST)","Yes(viaVST)","Yes(viaVST)","Yes","No"
"BrainEqualizer","No","Yes","No","Yes(iPodoranysoundapp)","No","No","Yes","No"
"BinauralBeethoven","No","Yes","Yes","Yes(iPodoranysoundapp)","No","No","No","Yes"
"BrainWaveGenerator","No","Yes","Yes(white,pinkandbrown)","Yes","No","Yes(WAV)","Yes","Yes"
"BrainWaveProducer","Yes(viaVST)","Yes","Yes(white,pinkandbrown)","Yes","Yes","Yes(OGG,MP3,WAV)","Yes","Yes"
"Gnaural","Yes","Yes","Yes(pink)","Yes","Yes","Yes(OGG,MP3,WAV)","Yes","Yes"
"BrainIgniterPlayer","No","Yes","Yes(white,pinkandbrown)","Yes","Yes","Yes(MP3)","No","Yes"
"NeuroEntrainment","No","Yes","No","No","Yes","No","Yes","Yes"
"Neuro-Programmer3","No","Yes","Yes(white,pinkandbrown)","Yes","Yes","Yes(OGG,MP3WAV)","Yes","Yes"
"MindWorkStation","Yes(withplugins)","Yes","Yes(white,pinkandbrown)","Yes","Yes","Yes(OGG,MP3WAV)","Yes","Yes"
"SBaGen","No","No","Yes(pink)","Yes(WAV,rawaudio,OGG,MP3)","No","Yes(WAV,rawaudio)","Yes","Yes"
"BrainwaveStudio","No","Yes","Yes(white)","Yes","Yes","No","Yes","Yes"
"Discord","No","Yes","Yes(white,pinkandbrown)","Yes(WAV,rawaudio,OGG,FLAC)","Yes","Yes(WAV,rawaudio,OGG,FLAC)","Yes","Yes"
"IsochronicToneGenerator","No","Yes","No","Yes(iPodoranysoundapp)","Yes","No","Yes(inrealtime)","Yes"
"LuxVSTBrainwaveEntrainmentInstrument","No","Yes","Yes","Yes","Yes","Yes(throughDAW)","Yes","Yes"
"NeuroSequencerPro","No","Yes","Yes","Yes","Yes","Yes(MP3,M4A,WAV)","Yes","Yes"
"SHARMStudio5","No","Yes","Yes(white,pinkandbrown)","Yes(WAV,OGG,MP3)","Yes","Yes(WAV,OGG,MP3)","Yes","Yes"
