"Portuguese","Spanish","English"
"cola(<Lat.coloere)","pegamento,cola(<Lat.pix,<Lat.coloere)","glue"
"vaso(<Lat.vasum)","maceta,tiesto(<Hisp.-Ar.maceta,maybe<Ital.mazzetto;<Lat.testu)","vase,flowerpot"
"floco(<Lat.floccus)","copo(<Lat.cuppa)","flake"
"competência(<Lat.competentia)","aptitud,capacidad(<Lat.aptit?do;capac?t?tis)","competence,competency"
"despido(<Lat.expedire)","desnudo(<Lat.ex+nudus)","naked"
"osso(<Lat.ossum)","hueso(<Lat.ossum)","bone"
"pez(<Lat.pix)","brea(<Fr.brayer)","pitch,resin"
"polvo(<Gr.????????)","pulpo(<Gr.????????)","octopus"
"tenda(<Lat.tenda<tend?re)","tienda,lona,toldo(<Lat.tenda<tend?re;<Fr.Olonne;<Fr.taud<OldGerm.tialz)","tent,marquee"
"ganância(<Gothicganan)","codicia,avaricia,afán(<Lat.cupiditia;<Lat.avaritia;probably<Lat.afannae)","greed,avarice,covetousness"
"inversão(<Lat.inversionis)","inversión(<Lat.inversionis)","inversion"
"embaraçada(<Lat.in+O.Port.baraça,ofuncertainorigin)","avergonzada(<Lat.verecundia)","embarrassed"
"estafa(<Ital.staffa)","agotamiento,fatiga,extenuación(<Lat.gutta;<Lat.fatig?re;<Lat.extenu?re)","exhaustion,tiredness,wearout"
"esquisito(<Lat.exquisitus)","raro,extraño,peculiar(<Lat.rarus;<Lat.extr?neus;<Lat.peculi?ris)","odd,strange,peculiar"
"moléstia(<Lat.molestiae)","enfermedad,achaque,plaga,peste(<Lat.infirmitas;<Ar.šak?;<Lat.plaga;<Lat.pestis)","disease,plague"
"serviço(<Lat.servitium)","servicio(<Lat.servitium)","service"
"perro(originuncertain,maybe<Sp.perro)","oxidado(<Greekoxis+Lat.suffix-tatus)","rusty"
"berro(<Lat.barrire)","chillido,berrido(<Lat.cisclare;<Lat.barrire)","screech,shriek"
"aceite(<Lat.accept?re)","aceptado(<Lat.accept?re)","accepted"
"oficina(<Lat.offic?na<officium)","taller;tallerdecoches;tallermecánicodeautos(<OldFr.astelier;<OldFr.estalier+Lat.cocca;<OldFr.astelier+Lat.mechanicus+Gr.????)","autorepaircentre,repairgarage,workshop"
"firma(<Lat.firmus)","empresa;compañía;sociedad,negocio(<Lat.prenhendere;companio;societas;necotium)","business,firm,company,corporation,enterprise,venture,establishment,group,house"
"presunto(<Lat.persuctus)","jamón(<Fr.jambon)","ham,prosciutto"
"risco(<Lat.reseca)","riesgo(<ArabicrizqormaybeItalianrischio)","risk,line"
"topo(<Gr.tópos)","cumbre(<Lat.columenorculmen)","top"
