"English","Malay","Indonesian"
"PacificOcean","LautanPasifik,LautanTeduh","SamudraPasifik"
"Palestine","Palestin","Palestina"
"papaya(fruit)","(buah)betik","(buah)pepaya"
"PapuaNewGuinea","PapuaNewGuinea","PapuaNugini"
"parallel","selari","paralel"
"parliament","parlimen","parlemen(fromFranco-Dutchparlement)"
"party(political)","parti","partai(fromDutchpartij)"
"passport","pasport","paspor"
"patient","pesakitmeansconvictinIndonesian","pasien"
"patrol","ronda","patroli(forpoliceandmilitary)(fromDutchpatrolie),ronda(forcivilian)"
"pavement,sidewalk","jalanpinggir,jalurjalanuntukpejalankaki,laluanjalankaki,kakilima(InIndonesia,itisusedinpedagangkakilima(streetvendor))tepijalan","trotoar(fromFranco-Dutchtrottoir)"
"penis","zakarfromArabicذَكَر""male""-thiswordisextremelyvulgarinIndonesian,""buahzakar""meanstesticles,batanglelaki,konek(slang)","penis(formal),zakarfromArabic,lessfrequent,pelir,alatkelaminlaki-laki(euphemism),kemaluanlelaki(euphemism),burung(vulgar),titit(children'sslanglike""pee-pee""),kontol(slang,extremelyvulgar)"
"percent","peratus","persen,perseratus(lesscommon,usuallyusedwhencomparedpermille)"
"perfume","haruman,minyakwangi","parfumfromDutch,minyakwangi"
"periodic","berkala","berkala,periodik"
"Persia","Parsi","Persia"
"pharmacy","farmasi","apotek(fromDutchapotheek),farmasi(usuallyformedicinemanufacturers)"
"photograph","gambar(InIndonesian,itmeans""picture""or""figure""),foto","foto(lit.photo)potret"
"physics","fizik(Indonesianequivalentterm,fisik,isusedfortermphysical,e.g.aktivitasfisik[physicalactivity])","fisika"
"pickpocketnoun","penyeluksaku","copet(portmanteauofcolongdompet,""walletthief""),pencopet"
"pig,swine","babikhinzirfromArabicخِنْزِير(khin-zeer)","babi"
"pipe","paip","pipa"
"pirate(maritime)","lanunbajak","bajaklaut,perompak(perompakinMalay,means""robber""),lanun(archaic)"
"platform(train)","platform","peronfromDutchperron"
"Poland","Poland","Polandia"
"police","polis(means""insurancepolicy""(polisasuransi)inIndonesian)","polisifromDutchpolitie"
"pollution","pencemaran","pencemaran,polusi"
"portion","sebahagian","porsi,sebagian(aportionof...)"
"postcode","poskod","kodepos"
"potential","keupayaan","potensial,dayaberkemampuan"
"Prague","Prague","Praha(alsousedinMalay)"
"prayer(Islam)","solat,sembahyang","salat(standard),shalat,sholat(fromArabic,'sh'isusuallypronouncedas's'),sembahyang"
"prayerroom(Islam)","surau","surau,musala,mushollah(fromArabic,'sh'isusuallypronouncedas's')"
"precipitation(meteorology)","kerpasan","curahhujan,presipitasi"
"prediction","ramalan","prediksi,ramalan,prakiraan(notperkiraanestimation)"
"pregnant","mengandung,hamil(formal,fromArabicحَامِل),berbadandualit.""twobodied"",buntingforanimals","mengandung(formal),hamil(colloquial),berbadandua(poetic),bunting(informal)"
"premature","pramatang","prematur,dini"
"Preparation","Penyediaan","Persiapan"
"preposition","katasendinama","preposisi,katadepan"
"press","mediamassa,suratkhabar(seeabove)","pers(fromDutch),mediamassa"
"PrivateLimitedCompany","SendirianBerhadabbreviatedasSdnBhd(suffix),""sendirian""alonemeans""alone""","PerseroanTerbatasabbreviatedasPT(prefix)"
"privatization","penswastaan","privatisasi,swastanisasi,penswastaan"
"producer","pengeluar,penerbit,penghasil","produsen,produser(mainlyreferstomusicalproducers),penghasil"
"product","keluaran","produk(fromEnglishandDutchproduct),hasil,keluaran(morespecifictermforoutcome)"
"programming(computer)","pengaturcaraan","pemrograman"
"property(?)","hartapunya,milik","propertipunya,milik"
"propulsion","perejangan","propulsi,pendorong,penggerak"
"prostitute","pelacur,perempuansundal(vulgar)","pelacur,WanitaTunaSusila(WTS)(Sanskrit,pronounced'way-tay-es',i.e.""moral-lesswomen""),PekerjaSeksKomersial(PSK)(formal,pronounced'pay-es-ka'(commercialsexworkers)),perek(slang)"
"prostitution","pelacuran","prostitusi,pelacuran"
"province","wilayah(usedinIndonesiantomean'area'),daerah(usedinIndonesiantomean'area')","provinsi(fromDutchprovincie)"
"publication","penerbitan","penerbitan,publikasi,terbitan"
"pulse","denyut","denyut,pulsa"
"push,to(door)","tolak(Itusedasintolakpeluru(shotput)inIndonesianforthiscontex,usedlessprimarilyinIndonesiantomean'subtract',italsomeans'torefuse/reject',alsocommonmeaninginMalaywhenusedinarithmetics)","dorong(means""topush""inMalay,butoftenusedtomean""tosupport"")"
