"Client","Multi-server","UTF-8","Proxyserver","irc://URIscheme","Automaticupdates","Scriptinglanguage"
"Bersirc","Yes","No","?","?","?","N/A"
"BitchX","Yes","No","?","?","?","EnhancedIrcIIscript"
"ChatZilla","Yes","Yes","Yes","Yes","Yes","JavaScript"
"Colloquy","Yes","Yes","?","Yes","Yes","AppleScript,Cocoa,F-Script,JavaScript,Python"
"degesch","Yes","Yes","Yes","N/A","N/A","Lua"
"DMDirc","Yes","Partial","?","Yes","Yes","CustomActionssystem,Javaplugins"
"ERC","Yes","Yes","Yes","?","Yes","EmacsLisp"
"HexChat","Yes","Yes","Yes","Yes","Yes","Perl,Python,Tcl,Lua,JavaScript,C,C++,andviaD-Bus."
"HydraIRC","Yes","Yes","?","?","Yes","No"
"IceChat","Yes","Yes","No","Yes","Yes","VBScript"
"ircII","Yes","Yes","?","?","?","IrcIIscript"
"IRCjr","No","No","No","No","No","N/A"
"IRCCloud","Yes","Yes","Yes","Yes","N/A","JavaScript"
"Ircle","Yes","No","?","?","?","AppleScript"
"Irssi","Yes","Yes","Yes","No","No","Perl"
"jIRCii","Yes","Yes","Yes","?","No","Sleep"
"KiwiIRC","Yes","Yes","Yes","Yes","N/A","JavaScript,Node.js"
"Konversation","Yes","Yes","Yes","Yes","?","Shellscript,Ruby,Python,Perl,Java,C++,C#,JavaScript"
"KVIrc","Yes","Yes","Yes","Yes","No","KVS(custom),Perl,Python,C++"
"LeafChat","Yes","Yes","?","N/A","Yes","Java"
"LimeChat","Yes","Yes","?","?","?","N/A"
"Linkinus","Yes","Yes","Yes","Yes","Yes","AppleScript,Cocoa"
"Mibbit","Yes","Yes","?","Yes","N/A","N/A"
"mIRC","Yes","Yes","Yes","Yes","Yes","mIRCscript"
"Nettalk","Yes","Yes","SOCKS","Yes","Yes","VBScript,custom"
"PIRCH","Yes","No","?","?","No","Yes"
"PJIRC","Yes","Yes","?","?","No","Partial,JavaScript"
"Quassel","Yes","Yes","Yes","?","No","No"
"qwebirc","No","Yes","No","Yes","Yes","No"
"rcirc","Yes","Yes","?","?","No","EmacsLisp"
"Smuxi","Yes","Yes","Yes","?","?","Yes(languageagnostic)"
"Snak","Yes","Yes","?","?","?","AppleScript,IrcIIscript"
"VisualIRC","Yes","No","?","?","?","Versus"
"WeeChat","Yes","Yes","Yes","Yes","?","C,Perl,Python,Ruby,Lua,Tcl,Scheme(Guile)"
"Client","Multi-server","UTF-8","Proxyserver","irc://URIscheme","Automaticupdates","Scriptinglanguage"
