"Model","Features","Features","Features","Features"
"Model","OpenEXRHDR","ScalableLinkInterface(SLI)","TurboCache","PureVideoWMV9Decoding"
"GeForce6100","No","No","No","Limited"
"GeForce6150SE","No","No","Driver-SideOnly","Limited"
"GeForce6150","No","No","No","Yes"
"GeForce6150LE","No","No","Driver-SideOnly","Yes"
"GeForce6200","No","No","Yes(PCIeonly)","Yes"
"GeForce6500","No","Yes","Yes","Yes"
"GeForce6600LE","Yes","Yes(NoSLIConnector)","No","Yes"
"GeForce6600","Yes","Yes(SLIConnectororPCIeInterface)","No","Yes"
"GeForce6600DDR2","Yes","Yes(SLIConnectororPCIeInterface)","No","Yes"
"GeForce6600GT","Yes","Yes","No","Yes"
"GeForce6800LE","Yes","No","No","No"
"GeForce6800XT","Yes","Yes(PCIeonly)","No","Yes(NV42only)"
"GeForce6800","Yes","Yes(PCIeonly)","No","Yes(NV41,NV42only)"
"GeForce6800GTO","Yes","Yes","No","No"
"GeForce6800GS","Yes","Yes(PCIeonly)","No","Yes(NV42only)"
"GeForce6800GT","Yes","Yes(PCIeonly)","No","No"
"GeForce6800Ultra","Yes","Yes(PCIeonly)","No","No"
