"Name","Users","Projects"
"Assembla","Unknown","526,581+"
"Bitbucket","5,000,000","Unknown"
"Buddy","Unknown","Unknown"
"CloudForge","Unknown","Unknown"
"Gitea","Unknown","Unknown"
"GitHub","65,000,000","200,000,000"
"GitLab","31,190,000","546,000"
"GNUSavannah","93,346","3,848"
"Launchpad","3,965,288","40,881"
"OSDN","54,826","6,294"
"Ourproject.org","6,353","1,846"
"OW2Consortium","Unknown","Unknown"
"SEUL","Unknown","Unknown"
"SourceForge","3,700,000","500,000"
"ProgramOnChain","Unknown","Unknown"
"Name","Users","Projects"
