"JVM","Status","LatestsupportedJavaversion","Supportedclasslibraries","Performance","Performance","Supportedclasslibraries","Supportedclasslibraries","Performance"
"JVM","Status","LatestsupportedJavaversion","GNUClasspath","OpenJDK","Other","Interpretation","AOT","JIT"
"GCJ","NolongermaintainedordistributedbyGNUasofGCC7","?","Yes","No","","Yes","Yes","No"
"HotSpot,OpenJDKedition","Referenceimplementation.","1.8","No","Yes","","Yes","No","Yes"
"HotSpot,OracleJDKedition","Referenceimplementation.","1.8","No","Yes","","Yes","No","Yes"
"HotSpot,JavaSEembeddededition","","?","No","Yes","","Yes","No","Yes"
"HotSpot,Zeroport","Interpreter-onlyportofOpenJDKusingalmostnoassemblylanguageanddesignedtobeveryportable.","1.7","No","Yes","","Yes","No","No"
"IKVM.NET","","?","?","?","","Whateverthe.NETruntimeuses","Whateverthe.NETruntimeuses","Whateverthe.NETruntimeuses"
"JAmiga","","1.4","Yes","No","","Yes","No","No"
"JamVM","","1.8","Yes","Yes","","Yes","No","Yes"
"JatoVM","","1.6","Yes","No","","No","No","Yes"
"JCvirtualmachine","TranslatesJavatoCandcompilesitwithaCcompiler.","1.4","Yes","No","","Yes","Yes","Yes"
"JikesRVM","","1.6","Yes","Port","ApacheHarmony","No","?","Yes"
"Kaffe","","1.4","Yes","No","","Yes","No","Yes"
"MysaifuJVM","","?","Yes","No","","Yes","No","No"
"SableVM","Unmaintained","1.4","Yes","No","","Yes","No","No"
