"Name","Operatingsystem","Freewareversion","Portable","Encryptsfiles","Detectconflict","Filelock","Openfilesupport","Revisioncontrol","Detectrename","Detectmove","Fullduplextransfer","Propagatedeletes","Casesensitive","Deltacopying(blockleveltransfer)","LANSync"
"@MAXSyncUp","Windows","Limited","No","","Yes","Yes","Yes","","No","No","","Yes","","Yes","Yes"
"AllwaySync","Windows","Limited","Yes","Yes","Yes","","Yes","Yes","No","No","Yes","Yes","","","Yes"
"AIMstor(discontinued)","Windows","Limited","Yes","","Yes","Yes","Yes","YesthroughVSS","Yes","Yes","Yes","Yes","Casepreservingonly","",""
"ArgentumBackup","Windows","No","Yes","","","","No","Yes","","","","","Yes","",""
"BackupAssist","Windows","No","","","No","","Yes","","","","","","","",""
"Backup4all","Windows","Limited","Yes","Yes","No","","Yes","Yes","","","","Yes","","Yes",""
"BeyondCompare","Windows,OSX,Linux","Limited","Yes","No","Yes","","Yes","Yes","","","","Yes","","",""
"BoxSync","Windows,OSX,Android,BlackBerry,iOS","Limited","","","Yes","?","?","Yes","?","?","?","Yes","?","","No"
"ChronoSync","OSX","No","No","Yes","Yes","Yes","Yes(onlywithAPFS)","Yes","No","No","Yes","Yes","Yes","No","Yes"
"Cloudike","Windows,OSX,iPhone,Android","Yes","No","","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","",""
"CloudMe","Windows,OSX,Linux,iPhone,Android,GoogleTV,SamsungTV","Yes","No","","Yes","?","?","No","Yes","No","?","?","Yes","?","No"
"DistributedStorage","Windows,Linux","No","","","Yes","Yes","Yes","","","","","","","",""
"DmailerSync(discontinued)","Windows","Yes","","","","","","","","","","","","",""
"Dropbox","Windows,OSX,Linux,Android,iPhone,BlackBerry","Yes","No","","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Easy2SyncforFiles","Windows","Yes","","","Yes","","","Yes","Yes,forfolders","","","","","",""
"Egnyte","Windows,OSX,Linux,Android,iPad,iPhone","No","No","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Casepreservingonly","Yes","Yes"
"Gladinet","Windows,OSX,Android,iPad,iPhone,WindowsRT,Blackberry","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"GoDrive","Windows,MacOSX,Linux,Android,iOS","Limited","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes"
"GoodSync","Windows,OSX,Android,iPad,iPhone,USBflashdrive","Yes","Yes","Yes,beta","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"IBMConnections","Windows,OSX,Android,iOS","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"MediaFire","Windows,OSX,Android,iOS","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Name","Operatingsystem","Freewareversion","Portable","Encryptsfiles","Detectconflict","Filelock","Openfilesupport","Revisioncontrol","Detectrename","Detectmove","Fullduplextransfer","Propagatedeletes","Casesensitive","Deltacopying(blockleveltransfer)","LANSync"
