"Model","Codename","Released","Fab(nm)","USB2.0+1.1","Audio","ParallelATA","Features/Notes"
"AMD640chipset","AMD-645","1997","","","","2×ATA/33",""
"AMD750chipset","AMD-756","1999","","0+4","","2×ATA/66",""
"AMD760chipset","AMD-766","2001","","0+4","","2×ATA/100",""
"AMD760MPXchipset","AMD-768","2001","","AC'97","2×ATA/100","0+4",""
"","","","","","","",""
"GeodeGX1","GeodeCS5530","","","","AC'97","2×ATA/33","NationalSemiconductorrelease"
"GeodeGXmGeodeGXLV","GeodeCS5530A","","","","AC'97","2×ATA/33","NationalSemiconductorrelease"
"GeodeGX","GeodeCS5535","","","0+4","AC'97","2×ATA/66",""
"GeodeLX","GeodeCS5536","","","4+0","AC'97","2×ATA/100",""
"","","","","","","",""
"AMD-8111nForceProfessionalULi-1563","AMD-8131","2004","","4+2","AC'97","2×ATA/133","PCI-X"
"AMD-8111nForceProfessionalULi-1563","AMD-8132","2004","","4+2","AC'97","2×ATA/133","PCI-X2.0"
"AMD-8151","AMD-8151","2004","","4+2","AC'97","2×ATA/133","AGP8X"
