"Applicationanddeveloper","Platform","Latestrelease","Latestrelease","License","Schematic?","Simulation?","PCBediting?","UserInterfaceLanguage(s)","Imports","Exports","Scriptingsupport"
"Applicationanddeveloper","Platform","Version","License","Schematic?","Simulation?","PCBediting?","UserInterfaceLanguage(s)","Imports","Exports","Scriptingsupport","Date"
"Active-HDLbyAldec","Windows","10.3","2016-03-16","Proprietary","Yes","Yes","No","en","EDIF,Viewlogic,more","PDF,HTML,Verilog,VHDL,EDIF,Zuken,more",""
"AdvancedDesignSystembyKeysightEEsofEDA","POSIX","2019","2018-11-15","Proprietary","Yes","Yes","Yes","en","HSPICE,SPICE,Spectrenetlists;Gerber,Excellon,ODB++,artwork;more","HSPICE,SPICE,Spectrenetlists;Gerber,Excellon,ODB++,artwork;more","Python,ApplicationExtensionLanguage(proprietary;""AEL"")"
"AdvancedDesignSystembyKeysightEEsofEDA","Windows","2019","2018-11-15","Proprietary","Yes","Yes","Yes","en","HSPICE,SPICE,Spectrenetlists;Gerber,Excellon,ODB++,artwork;more","HSPICE,SPICE,Spectrenetlists;Gerber,Excellon,ODB++,artwork;more","Python,ApplicationExtensionLanguage(proprietary;""AEL"")"
"AdvancedDesignSystembyKeysightEEsofEDA","SuSE","2019","2018-11-15","Proprietary","Yes","Yes","Yes","en","HSPICE,SPICE,Spectrenetlists;Gerber,Excellon,ODB++,artwork;more","HSPICE,SPICE,Spectrenetlists;Gerber,Excellon,ODB++,artwork;more","Python,ApplicationExtensionLanguage(proprietary;""AEL"")"
"AdvancedDesignSystembyKeysightEEsofEDA","RHEL","2019","2018-11-15","Proprietary","Yes","Yes","Yes","en","HSPICE,SPICE,Spectrenetlists;Gerber,Excellon,ODB++,artwork;more","HSPICE,SPICE,Spectrenetlists;Gerber,Excellon,ODB++,artwork;more","Python,ApplicationExtensionLanguage(proprietary;""AEL"")"
"AltiumDesigner(formerProtel)byAltium","Windows","21.5.1","2021-06-22","Proprietary","Yes","Yes","Yes","Multilingual","OrCAD,Allegro,PADSLogic,PADSPCB,Expedition,DxDesigner,EAGLE,P-CAD,Gerber,STEP,Solidworks,IDF,more","3DPDF,Gerber,GerberX2,Excellon,ODB++,DXF,STEP,OrCAD,EAGLE,more","Delphi,JS,VB"
"AltiumDesigner(formerProtel)byAltium","Wine","21.5.1","2021-06-22","Proprietary","Yes","Yes","Yes","Multilingual","OrCAD,Allegro,PADSLogic,PADSPCB,Expedition,DxDesigner,EAGLE,P-CAD,Gerber,STEP,Solidworks,IDF,more","3DPDF,Gerber,GerberX2,Excellon,ODB++,DXF,STEP,OrCAD,EAGLE,more","Delphi,JS,VB"
"CADSTAR,BoardDesigner,andVisulabyZuken","Windows","2019.0.0.1","2019-11-18","Proprietary","Yes","Yes,SI&PI","Yes","en","PADS,OrCAD,P-CAD,Protel,DXF,IDF","PDF,Gerber,Excellon,ODB++,DXF,IDFmore","COM,macros"
"CircuitLogixbyLogicDesignInc.","Windows","10","2019-01","Proprietary","Yes","Yes","Yes","en","SPICE,Gerber,DXF","SPICE,PDF,Gerber,DXF",""
"CircuitMakerbyAltium","Windows","2","2021-07","Proprietary","Yes","No","Yes","en","ImporterRemovedsinceLastVersion(1.3)","Gerber,Excellon,DXF,STEP,PDF","None"
"CircuitMakerbyAltium","Wine","2","2021-07","Proprietary","Yes","No","Yes","en","ImporterRemovedsinceLastVersion(1.3)","Gerber,Excellon,DXF,STEP,PDF","None"
"CR-5000byZuken","POSIX","13","2011-05-17","Proprietary","Yes","Yes,SI&PI","Yes","en,jp","EDIF,DXF,IGES,IDF,BSDL,STEP,ACIS,Gerber,Excellon,more","PDF,Gerber,Excellon,ODB++(mustrequest),DXF,STEP,IPCD-356,IPC-2581,EPS,ACIS",""
"CR-5000byZuken","Windows","13","2011-05-17","Proprietary","Yes","Yes,SI&PI","Yes","en,jp","EDIF,DXF,IGES,IDF,BSDL,STEP,ACIS,Gerber,Excellon,more","PDF,Gerber,Excellon,ODB++(mustrequest),DXF,STEP,IPCD-356,IPC-2581,EPS,ACIS",""
"CR-5000byZuken","Unix","13","2011-05-17","Proprietary","Yes","Yes,SI&PI","Yes","en,jp","EDIF,DXF,IGES,IDF,BSDL,STEP,ACIS,Gerber,Excellon,more","PDF,Gerber,Excellon,ODB++(mustrequest),DXF,STEP,IPCD-356,IPC-2581,EPS,ACIS",""
"CR-5000byZuken","Linux","13","2011-05-17","Proprietary","Yes","Yes,SI&PI","Yes","en,jp","EDIF,DXF,IGES,IDF,BSDL,STEP,ACIS,Gerber,Excellon,more","PDF,Gerber,Excellon,ODB++(mustrequest),DXF,STEP,IPCD-356,IPC-2581,EPS,ACIS",""
"CR-8000byZuken","POSIX","2020","2020-06-30","Proprietary","Yes","Yes,SI&PI,IBIS-AMI/SERDES","Yes","en,jp","EDIF,DXF,IGES,IDF,BSDL,STEP,ACIS,Gerber,Excellon,more","PDF,Gerber,Excellon,ODB++(mustrequest),DXF,STEP,IPCD-356,IPC-2581,EPS,ACIS",""
"CR-8000byZuken","Windows","2020","2020-06-30","Proprietary","Yes","Yes,SI&PI,IBIS-AMI/SERDES","Yes","en,jp","EDIF,DXF,IGES,IDF,BSDL,STEP,ACIS,Gerber,Excellon,more","PDF,Gerber,Excellon,ODB++(mustrequest),DXF,STEP,IPCD-356,IPC-2581,EPS,ACIS",""
"CR-8000byZuken","Unix","2020","2020-06-30","Proprietary","Yes","Yes,SI&PI,IBIS-AMI/SERDES","Yes","en,jp","EDIF,DXF,IGES,IDF,BSDL,STEP,ACIS,Gerber,Excellon,more","PDF,Gerber,Excellon,ODB++(mustrequest),DXF,STEP,IPCD-356,IPC-2581,EPS,ACIS",""
"CR-8000byZuken","Linux","2020","2020-06-30","Proprietary","Yes","Yes,SI&PI,IBIS-AMI/SERDES","Yes","en,jp","EDIF,DXF,IGES,IDF,BSDL,STEP,ACIS,Gerber,Excellon,more","PDF,Gerber,Excellon,ODB++(mustrequest),DXF,STEP,IPCD-356,IPC-2581,EPS,ACIS",""
"DesignSparkPCBbyRSComponents","Windows","9.0.3","2020-07-08","Proprietary","Yes","Yes,Spice","Yes","en","EAGLE,DXF,EDIF","Gerber,Excellon,ODB++,DXF,IDF,PDF,LPKF",""
"DesignSparkPCBProbyRSComponents","Windows","9.0.3","2020-07-08","Proprietary","Yes","Yes,Spice","Yes","en","EAGLE,OrCAD,Easy-PC,NIUltiboard,BoardMaker,DXF,PNL,EDIF","Gerber,Excellon,ODB++,DXF,IDF,PDF,LPKF",""
"DipTracebyNovarm","POSIX","4.2.0.1","2021-11-18","Proprietary","Yes","External(Spicenetlistexport)","Yes","21languages","Altium,Eagle,KiCad,OrCAD,P-CAD,PADS,Gerber,N/CDrill,DXF,BSDLPinlist,Netlists","Gerber,GerberX2,Excellon,ODB++,DXF,Eagle,P-CAD,PADS,OrCAD,IPC-D-356,STEP,VRML,PickandPlace,CSV,BOM",""
"DipTracebyNovarm","Windows","4.2.0.1","2021-11-18","Proprietary","Yes","External(Spicenetlistexport)","Yes","21languages","Altium,Eagle,KiCad,OrCAD,P-CAD,PADS,Gerber,N/CDrill,DXF,BSDLPinlist,Netlists","Gerber,GerberX2,Excellon,ODB++,DXF,Eagle,P-CAD,PADS,OrCAD,IPC-D-356,STEP,VRML,PickandPlace,CSV,BOM",""
"DipTracebyNovarm","Mac","4.2.0.1","2021-11-18","Proprietary","Yes","External(Spicenetlistexport)","Yes","21languages","Altium,Eagle,KiCad,OrCAD,P-CAD,PADS,Gerber,N/CDrill,DXF,BSDLPinlist,Netlists","Gerber,GerberX2,Excellon,ODB++,DXF,Eagle,P-CAD,PADS,OrCAD,IPC-D-356,STEP,VRML,PickandPlace,CSV,BOM",""
"DipTracebyNovarm","Wine","4.2.0.1","2021-11-18","Proprietary","Yes","External(Spicenetlistexport)","Yes","21languages","Altium,Eagle,KiCad,OrCAD,P-CAD,PADS,Gerber,N/CDrill,DXF,BSDLPinlist,Netlists","Gerber,GerberX2,Excellon,ODB++,DXF,Eagle,P-CAD,PADS,OrCAD,IPC-D-356,STEP,VRML,PickandPlace,CSV,BOM",""
