"Software","MicrosoftWindows","MicrosoftWindows","Linux","IBM","IBM","IBM","Linux","Linux","MicrosoftWindows","MicrosoftWindows","MicrosoftWindows","MicrosoftWindows","MicrosoftWindows","MicrosoftWindows","MicrosoftWindows","Darwin/OSX","Linux","IBM","HP-UX","illumos/Solaris"
"Software","2000","Darwin/OSX","XP","Vista","HP-UX","illumos/Solaris","2003Server","2008R2Server","2008Server","2012Server","7–64bit","8–64bit","RedHat","SUSE","Ubuntu","CentOS","AIX","OS/390","IBMi","z/OS"
"AdroitLogicUltraESB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"AnypointPlatform","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes"
"ArtixESB","withSP3,SP4","withSP1,SP2","","Yes","","","","","","No","Yes","Yes","","","Yes","","No","Yes","Yes","Yes"
"AutomationAnywhereIntegrationPack","Yes","Yes","Yes","Yes","","","","","","No","No","No","","","No","No","No","No","No","No"
"BizTalkServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","","","No","","No","No","No","No"
"FlowSoftware","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","No","No","No","","","No","No","No","No","No","No"
"IBMIntegrationBus","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes"
"JBossEnterpriseServiceBus(ESB)","Yes","Yes","Yes","Yes","","","","","","Yes","Yes","Yes","","","Yes","","","","Yes","Yes"
"JBossEnterpriseSOAPlatform","Yes","Yes","Yes","Yes","","","","","","Yes","Yes","Yes","","","Yes","","","","Yes","Yes"
"InformaticaPowerCenter","Yes","Yes","Yes","Yes","","","","","","","Yes","Yes","","","Yes","","Yes","Yes","Yes","Yes"
"Openadaptor","Yes","Yes","","Yes","","","","","","Yes","Yes","Yes","","","Yes","","","","Yes","Yes"
"OpenESB","Yes","Yes","","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"OpenLinkVirtuoso","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes"
"OracleBPELProcessManager","Yes","Yes","","Yes","Yes","","Yes","Yes","","","Yes","Yes","","","5L","","No","No","Yes","Yes"
"OracleEnterpriseServiceBus","Yes","Yes","","Yes","Yes","","Yes","Yes","","","Yes","Yes","","","Yes","","No","No","Yes","Yes"
"PEtALSESB","Yes","Yes","","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"SAPExchangeInfrastructure","Yes","Yes","Yes","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","Yes","Yes","Yes","Yes"
"ServiceMix","Yes","withSP2","Yes","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"SonicESB","Yes","Yes","Yes","Yes","","","","","","","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"Spagic","Yes","Yes","","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"SunJavaCompositeApplicationPlatformSuite","Yes","Yes","","Yes","","","","","","","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"TrackerSuite.Net","No","withSP2","Yes","Yes","","","","","","","","","","","","","","","",""
"UnifyNXJ","withSP4","withSP1","","Yes","","","","","","No","Yes","Yes","","","5.3","","No","No","Yes","Yes"
"WSO2EnterpriseServiceBus(ESB)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes"
