"Product","Highlight","Annotate","Editmeta-data","Onlinedictionary","Offlinedictionary","LookupWikipedia","Translate","Share","TTSsupport(readaloud)","DRMsupport","ExporttoiTunes"
"ApabiReader","No","No","No","No","No","No","No","TwoChinesewebsitesonly","No","No","Yes"
"Blio","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes"
"BluefireReader","Yes","Yes","Author,Title,Publisher","Yes","No","No","No","Facebook,Twitter,eMail","No","Yes","Yes"
"BookFusion","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes"
"DLReader","Yes","Yes","Author,Title,Publisher","No","No","No","Yes","No","No","AdobeDRM","Yes"
"eBookMobi","No","No","No","No","Yes","No","Yes","eMail","No","No","Yes"
"EbookReader","Yes","Yes","No","No","No","No","No","Facebook,Twitter,eMail,Google+","No","AdobeDRM","Yes"
"i2Reader","No","No","No","No","Yes","No","No","eMail","No","No","Yes"
"AppleBooks","Yes","Yes","No","Yes","Yes","Yes","No","Facebook,Twitter,eMail,SMS","yes,viaVoiceOver","AppleFairPlay","Yes"
"Kindle","Yes","Yes","No","Yes","Yes","Yes","No","Facebook,Twitter","No","Yes","Yes"
"KoboReadingApp","Yes","Yes","No","Yes","No","Yes","No","Facebook,Twitter","No","Yes","Yes"
"KyBook","Yes","Yes","Yes","No","Yes","Yes","Yes","Facebook,Twitter,eMail,VKontakte","Yes","No","Yes"
"KyBook2","Yes","Yes","No","Yes","Yes","Yes","Facebook,Twitter,eMail,VKontakte","Yes","No","Yes","Yes"
"MapleRead","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Marvin","Yes","Yes","Yes","Yes","Yes","Yes","No","Facebook,Twitter,eMail,customizable","Yes","No","Yes"
"MegaReader","No","No","No","No","No","No","No","No","No","No","Yes"
"PocketBookreader","Yes","Yes","No","Yes","Yes","Yes","No","Facebook,Twitter,eMail,SMS","No","Yes","Yes"
"ShuBook2","No","No","Author,Title,Label","No","Yes","No","No","Wholebookonly,eMail","No","No","Yes"
"SideBooks","Yes","Yes","No","No","No","No","No","No","No","No","Yes"
"Stanza","No","Yes","Yes","No","Yes","No","No","Facebook,Twitter,eMail","No","No","Yes"
"uBooksXL","Yes","No","Yes","No","No","No","Yes","eMail","No","No","Yes"
"iBouquiniste","No","No","No","No","No","Yes","Yes","eMail","Yes","No","Yes"
"Product","Highlight","Annotate","Editmeta-data","Onlinedictionary","Offlinedictionary","LookupWikipedia","Translate","Share","TTSsupport(readaloud)","DRMsupport","ExporttoiTunes"
