"English","Malay","Indonesian"
"salty","masin","asin,masin(rare)"
"Sanskrit","Sanskrit","Sanskerta"
"sauce","sos","saus"
"sausage","sosej","sosis(fromDutchsaucijs)"
"scenario","senario","skenario"
"school(Islamic)","sekolahpondok","madrasah,pesantren,pondokpesantren"
"science","sains","ilmu(fromArabic'ilm)(alam),sains(especiallyfor""naturalscience"")"
"Scotland","Scotland","Skotlandia"
"secret","rahsia","rahasia"
"secretary","setiausahaIndonesianlit.""loyaltowork""","sekretaris(fromDutchsecretaris)"
"section","seksyen,bahagian","seksi(fromDutchsectie),bagian"
"sensor","penderia,pengesan,sensor","sensor"
"server(computing)","pelayan","server,peladen"
"session","sesyen,sesi","sesi(fromDutchsessie)"
"sewer","salurannajis""najis""meansdirtyinbothlanguages,salurankumbahan","selokan,parit(means'ditch'inMalay),got,saluranair/pembuangan"
"sexagesimal","perenampuluhan","seksagesimal"
"shampoo","syampu(fromAnglo-Indian/Hindustanich?mpo,theimperativeformof(Hindi)???????ch?mpn?'tosmear,kneadthemuscles,massage')","sampo"
"share(verb)","berkongsi(InIndonesian,itmeans""creatingtradingcompany""or""plottingsomethingbad"")","berbagi"
"shirt","baju(alsoinIndonesianbutmoregenerallyreferstoclothes)","kaos,kemeja(fromPortuguesecamisa,impliescollaredshirt)"
"shoe","kasutgeneralizedtermforanyfootwearinIndonesian,butusuallyrelatedtosandalsorancientshoes,sepatu","sepatu(understoodbutlessfrequentlyusedinMalaysia,fromPortuguesesapato)"
"shop","kedai(MeanseateriesstallinIndonesia)","toko,warung,kedai"
"shoppingmall","pusatbeli-belah","mal,pusatperbelanjaan"
"site(internet)","tapak(meansfoundation(building)orfootprintinIndonesia)","situs"
"Slovakia","Slovakia","Slowakia"
"snow","salji(fromArabicthalj)","salju(alsofromthalj)"
"socialsecurity","keselamatansosial","jaminansosial"
"sodomy","liwat(fromArabic)","sodomi,liwat(onlyusedinIslamictextbooks)"
"solar","solar,suria(fromSanskrit'surya')","surya"
"solution","penyelesaian,solusi(rare)","solusi,pemecahan,penyelesaian"
"sour","masam","asam,masam(poetic,usuallyusedinconnotativeexpressions:bermukamasam:sourfaced(dissatisfied/unhappyexpression))"
"soyabeans","kacangsoya","(kacang)kedelai"
"Spain","Sepanyol","Spanyol"
"speak/talk","berbicara,bercakap(means'tochat'inIndonesian),bersembang,berborak","berbicara,ngomong(Javanesengoko,colloquial)"
"specialist","perubatan,pakar","spesialis(incaseofspecialistdoctor),pakaringeneral,itmeansexpert"
"spoon","sudu","sendok"
"sport","sukan","olahraga(means""athletics""Malay,fromSanskrit,lit.""totrainthebody"")"
"spouse","pasangansuami-isteri,kelamincolloquial,inIndonesianmeans""sex""or""gender""","pasangan(suami-istri),suami-istri(husband-wife)"
"stability","kestabilan","stabilitas,kestabilan"
"stadium","stadium","stadion,stadiunfromDutch"
"staff","kakitangan(phrase""kakitangan""meanssubordinatewithnegativeimageinIndonesian)","staf,personilfromDutchpersoneel,pegawai"
"stamp","setem","perangko"
"standard","piawai,standard","standarpatokan"
"starfish","tapakSulaiman","bintanglaut"
"state(withinafederation)","negeri","negarabagian"
"station","stesen","stasiun(formerlyspelled""setasiun"")"
"steeringwheel","rodastereng","rodasetir(fromDutchstuur)"
"stop(verb)","berhenti","berhenti,henti,setop"
"strawberry","strawberi","stroberi,arbeifromDutchaardbei"
"stupid","bodoh,bengap,tolol,bangang,bongok(slang)","bodoh,dungu,tolol,goblok(slang),verydemeaninginMalay,geblek(slang),bego(slang)"
"sublimation(phasetransition)","pemejalwapan","sublimasi,penyubliman"
"Sunday","Ahad","Minggu(fromPortugueseDomingowhichmeansLord'sDay),Ahad(onlyusedinIslamiccalendar)"
"sunglasses","cerminmatagelap(InIndonesia,cerminmeans""mirror"")","kacamatahitam(lit.blackglasses),kacamatariben(from'Ray-Ban'brandofsunglasses)"
"supermarket","pasarraya","supermarket,pasarswalayan(lit.self-servicemarket)"
"supervision","penyeliaan","pengawasan,penyeliaan,supervisi"
"survey","tinjauan(meansprocessorresultofobservationinIndonesian),kajiselidik","survei"
"suspend(hang)","menggantung(means'hang'inIndonesian)","menangguhkan(also'adjourn'inMalay)"
"Sweden","Sweden","Swedia"
"Switzerland","Switzerland","Swiss"
"Syria","Syria","Suriah(fromArabic)"
