"","Windows","macOS","Linux","BSD","UNIX","AmigaOS","z/OS","iOS","Android","OpenVMS"
"4thDimension","Yes","Yes","No","No","No","No","No","No","No","No"
"ADABAS","Yes","No","Yes","No","Yes","No","Yes","No","No","No"
"AdaptiveServerEnterprise","Yes","No","Yes","Yes","Yes","No","No","No","No","No"
"AdvantageDatabaseServer","Yes","No","Yes","No","No","No","No","No","No","No"
"Altibase","Yes","No","Yes","No","Yes","No","No","No","No","No"
"ApacheDerby","Yes","Yes","Yes","Yes","Yes","No","Yes","?","No","No"
"ClustrixDB","No","No","Yes","No","Yes","No","No","No","No","No"
"CockroachDB","Yes","Yes","Yes","No","No","No","No","No","No","No"
"CUBRID","Yes","Partial","Yes","No","No","No","No","No","No","No"
"DB2","Yes","Yes(ExpressC)","Yes","No","Yes","No","Yes","Yes","No","No"
"EmpressEmbeddedDatabase","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No"
"EXASolution","No","No","Yes","No","No","No","No","No","No","No"
"FileMaker","Yes","Yes","Yes","No","No","No","No","Yes","No","No"
"Firebird","Yes","Yes","Yes","Yes","Yes","No","Maybe","No","Yes","No"
"HSQLDB","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?","No"
"H2","Yes","Yes","Yes","Yes","Yes","No","Yes","?","Yes","No"
"InformixDynamicServer","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"Ingres","Yes","Yes","Yes","Yes","Yes","No","Partial","No","No","Yes"
"InterBase","Yes","Yes","Yes","No","Yes(Solaris)","No","No","Yes","Yes","No"
"LinterSQLRDBMS","Yes","Yes","Yes","Yes","Yes","No","UnderLinuxonIBMZ","Yes","Yes","Yes"
"LucidDB","Yes","Yes","Yes","No","No","No","No","No","No","No"
"MariaDB","Yes","Yes","Yes","Yes","Yes","No","No","?","Yes","No"
"MaxDB","Yes","No","Yes","No","Yes","No","Maybe","No","No","No"
"MicrosoftAccess(JET)","Yes","No","No","No","No","No","No","No","No","No"
"MicrosoftVisualFoxpro","Yes","No","No","No","No","No","No","No","No","No"
"MicrosoftSQLServer","Yes","No","Yes","No","No","No","No","No","No","No"
"MicrosoftSQLServerCompact(EmbeddedDatabase)","Yes","No","No","No","No","No","No","No","No","No"
"MimerSQL","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes"
"MonetDB","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"MySQL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No"
"OmnisStudio","Yes","Yes","Yes","No","No","No","No","No","No","No"
"OpenEdge","Yes","No","Yes","No","Yes","No","No","No","No","No"
"OpenLinkVirtuoso","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"Oracle","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes"
"OracleRdb","No","No","No","No","No","No","No","No","No","Yes"
"PervasivePSQL","Yes","Yes(OEMonly)","Yes","No","No","No","No","No","No","No"
"Polyhedra","Yes","No","Yes","No","Yes","No","No","No","No","No"
"PostgreSQL","Yes","Yes","Yes","Yes","Yes","Yes(MorphOS)","UnderLinuxonIBMZ","No","Yes","No"
"R:Base","Yes","No","No","No","No","No","No","No","No","No"
"RaimaDatabaseManager","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No"
"RDMServer","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"SAPHANA","Yes","No","Yes","No","No","No","No","No","No","No"
"solidDB","Yes","No","Yes","No","Yes","No","UnderLinuxonIBMZ","No","No","No"
"SQLAnywhere","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No"
"SQLBase","Yes","No","Yes","No","No","No","No","No","No","No"
"SQLite","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Yes","No"
"SQreamDB","No","No","Yes","No","No","No","No","No","No","No"
"Superbase","Yes","No","No","No","No","Yes","No","No","No","No"
"SuperbaseNG","Yes","No","Yes","No","No","No","No","No","No","No"
"Teradata","Yes","No","Yes","No","Yes","No","No","No","No","No"
"Tibero","Yes","No","Yes","No","Yes","No","No","No","No","No"
"UniData","Yes","No","Yes","No","Yes","No","No","No","No","No"
"UniVerse","Yes","No","Yes","No","Yes","No","No","No","No","No"
"YugabyteDB","Yes","Yes","Yes","No","No","No","No","No","No","No"
"","Windows","macOS","Linux","BSD","UNIX","AmigaOS","z/OS","iOS","Android","OpenVMS"
