"Application","MicrosoftWindows","MacOSX","Linux","BSD","Unix"
"Alcohol120%","Yes","No","No","No","No"
"CDBurnerXP","Yes","No","No","No","No"
"cdrtools","Yes","Yes","Yes","Yes","Yes"
"DeepBurner","Yes","No","No","No","No"
"ImgBurn","Yes","No","No","No","No"
"InfraRecorder","Yes","No","No","No","No"
"K3b","No","No","Yes","Yes","No"
"Libburnia","No","Yes","Yes","Yes","Solaris"
"NeroBurningROM","Yes","No","Yes","No","No"
"UltraISO","Yes","No","No","No","No"
"X-CD-Roast","No","Yes","Yes","Yes","Yes"
"Application","MicrosoftWindows","MacOSX","Linux","BSD","Unix"
