"","MSHTML","Gecko","WebKit","Presto"
"<audio>attributes","<audio>attributes","<audio>attributes","<audio>attributes","<audio>attributes"
"src","5.0","1.9.1","525","2.5"
"preload","5.0","2.0","525","Experimental"
"autoplay","5.0","1.9.1","525","2.5"
"loop","5.0","2.5","11.0","525"
"controls","5.0","2.5","1.9.1","525"
"<video>attributes","<video>attributes","<video>attributes","<video>attributes","<video>attributes"
"src","5.0","1.9.1","525","2.5"
"preload","5.0","2.0","525","Experimental"
"autoplay","5.0","1.9.1","525","2.5"
"loop","5.0","2.5","11.0","525"
"controls","5.0","2.5","1.9.1","525"
"poster","5.0","2.5","1.9.2","525"
"width","5.0","2.5","1.9.1","525"
"height","1.9.1","5.0","2.5","525"
"<source>attributes","<source>attributes","<source>attributes","<source>attributes","<source>attributes"
"src","5.0","1.9.1","525","2.5"
"type","5.0","1.9.1","525","2.5"
"media","5.0","15.0","525","2.5"
"<track>attributes","<track>attributes","<track>attributes","<track>attributes","<track>attributes"
"kind","6.0","24.0","Yes","No"
"label","6.0","24.0","Yes","No"
"src","6.0","24.0","Yes","No"
"srclang","6.0","24.0","Yes","No"
