"Aspect","Esperanto","Interlingua"
"Type","schematic;designedtobeeasytolearn","naturalistic;designedtobeeasytounderstandtoasmanypeopleaspossible"
"Alphabet","usesdiacritics(?,?,?,?,?,?)","doesnotusediacritics"
"Orthography","invariableletter-to-phonemecorrespondence","lettersc,g,h,q,t,andwarevariable"
"Vocabularysources","mostlyRomanceandGermaniclanguages","primarycontrollanguages:English,French,Italian,SpanishandPortuguese"
"Gender","masculinebydefault;feminineoptional","onlyforthird-personpronouns"
"Antonyms","formedbymal-prefix","dis-forverbsandwordsderivedfromverbs,in-foradjectivesandwordsderivedfromadjectivesinaddition,certainrootscanbeprefixed,e.g.mal"
"Infinitivesuffix","-i(invariable)","-ar,-er,or-ir"
"Imperative","-usuffix","sameasindicative"
"Pluralnoun","-oj(agglutinative)","-s(aftervowels)-es(afterconsonants)"
"Adjectives","agreewithnouns","nodeclension"
"Accusativeform","mandatory,-n","onlyforpersonalpronouns"
"Noofspeakers","c.100,000–2,000,000","c.1,500"
