"IDE","Developer","Lateststablereleaseversion","Lateststablereleasedate","Platform","Writtenin","Widgettoolkit","License","Python2xsupport","Python3xsupport","Debugger","GUIbuilder","Integratedtoolchain","Profiler","Codecoverage","Autocomplete","Staticprogramanalysis","GUIbaseddesign","Classbrowser","Coderefactoring","Versioncontrolsystemsupport","Webframeworksupport"
"Anjuta","NabaKumar","3.28.0","2018-03-11","Unix-like","C","GTK+","GPL","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"eric","DetlevOffenbach","21.3","2021-03-06","Windows,Linux,macOS","Python","PyQt","GPLv3""orlater""","Yes,untilversion4.5.25andsinceversion5.5.0","Yes,sinceversion5.0.0","Yes,forPython2&3","Yes:QtCreator","Unknown","Yes","Yes","Yes","MultipleintegratedcheckersandPylintviaplug-in","Yes","Yes","Yes","SubversionandMercurial(coreplug-ins),git(optionalplug-in)","Djangoasoptionalplug-in"
"Geany","Team","1.37.1","2020-11-08","Windows,Linux,macOS,FreeBSD,AIX,OpenBSD,Solaris,otherUnix","C","GTK+","GPL","Unknown","Yes","No","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"IDLE","GuidovanRossumetal.","3.7","2019-03-25","Cross-platform","Python","Tkinter","PSFL","Yes","Yes","Yes","No","Unknown","No","No","Yes","No","Yes","Yes","Unknown","No","No"
"KomodoIDE","ActiveState","10.2","2017-02-21","Cross-platform","Unknown","Mozillaplatform","Proprietary","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Bazaar,CVS,Git,Mercurial,Perforce,SVN","Unknown"
"KDevelop","KDEKDevelopTeam","5.6.1","2020-12-11","Cross-platform","C,C++","Qt","GPL","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Bazaar,CVS,Git,Mercurial,Perforce,SVN","Unknown"
"MicrosoftVisualStudio(formerlyPythonToolsforVisualStudio)","Microsoft","16.9","2021-03-02","Windows","C++andC#","WindowsFormsandWPF,throughIronPython","PythontoolsunderApacheLicense2.0","Yes","Yes","Yes","No","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Basicrefactoring","Yes","Yes"
"MonoDevelop","NovellandtheMonocommunity","6.1.2.44","2016-11-11","Windows,Linux,macOS,FreeBSD,OpenBSD,Solaris","C#","Gtk#","LGPL","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Ninja-IDE","Team","2.3","2013-07-07","Cross-platform","Python","PyQt","GPL","Yes(Python2.7)","Yes","Yes(withwdebuggerplugin)","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"PIDA","Team","0.6.2","2010-08-04","Cross-platform","Python","PyGTK","GPL","Unknown","Unknown","Yes(integrateswithexternaldebuggers)","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
