"Virtualmachine","Languages","Comments","Interpreter","JIT","Implementationlanguage","SLoC"
"CommonLanguageRuntime(CLR)","C#,C++/CLI,F#,VB.NET","bytecodeisCIL;.NETCoreRuntimeonGitHub","No","Yes","C#,C++",""
"AdobeFlashPlayer(akaTamarin)","ActionScript,SWF(fileformat)","interactivewebauthoringtool.bytecodeisnamed""ActionScriptByteCode(.abc)""","Yes","Yes","C++","135k(initiallyreleased)"
"Dis(Inferno)","Limbo","DisVirtualMachineSpecification","Yes","Yes","C","15k+2850perJITarch+500perhostOS"
"DotGNU-Portable.NET","CLIlanguagesincluding:C#","CommonLanguageRuntimeclone","No","Yes","C,C#",""
"Forth","Forth","Featuresaresimplified,usuallyincludeassembler,compiler,text-levelandbinary-levelinterpreters,sometimeseditor,debuggerandOS.Compilingspeedsare>20SKLOC/SandbehavemuchlikeJIT.","Yes","No","Forth,ForthAssembler","2.8Kto5.6K;advanced,professionalimplementationsaresmaller."
"Glulx","Inform6,Inform7,others","","Yes","No","Variousimplementationsexist",""
"HHVM","PHP,Hack","Isanopen-sourcevirtualmachinedesignedforexecutingprogramswritteninHackandPHP.","Yes","Yes","C++,OCaml",""
"Icon","Icon","Basesourcecodeprovidesboththeinterpreteraswellasanunsupportedcompile-to-Cversion.Theruntimecode,thatissharedbetweenthecompilerandtheinterpreter,iswritteninavariantofCcalledRTT.","Yes","No","C,RTT(acustomfront-endtoC,providedwiththebasesourceforIcon).","~180ktotal.(sourcetobytecode:~11k,bytecodeinterpreter:~46k,iconc:~23k,common/headers:~13k,rtt:~15k)"
"JVM","Java,Kotlin,Jython,Groovy,JRuby,C,C++,Clojure,Scalaandseveralothers","ReferenceimplementationbySun;OpenJDK:codeunderGPL;IcedTea:codeandtoolsunderGPL","Yes","Yes","JDK,OpenJDK&IcedTeawithregularJIT:Java,C,C++,ASM;IcedTeawiththe""Zero""JIT:Java,C,C++","JVMisaround6500klines;TCKis80ktestsandaround1000klines"
"LLVM","C,C++,Kotlin,Objective-C,Swift,Ada,Fortran,andRust","MSIL,CandC++outputaresupported.ActionScriptByteCodeoutputissupportedbyAdobeAlchemy.bytecodeisnamed""LLVMBytecode(.bc)"".assemblyisnamed""LLVMAssemblyLanguage(*.ll)"".","Yes","Yes","C++","811k"
"Lua","Lua","","Yes","LuaJIT","C","13k+7kLuaJIT"
"MMIX","MMIXAL","","","","",""
"Mono","CLIlanguagesincluding:C#,VB.NET,IronPython,IronRuby,andothers","CommonLanguageRuntimeclone","Yes","Yes","C#,C","2332k"
"NekoVM","currentlyNekoandHaxe","","Yes","x86only","C","46k"
"Oz","Oz,Alice","","","","",""
"O-codemachine","BCPL","","","","",""
"p-codemachine","Pascal","UCSDPascal,widespreadinlate70sincludingAppleII","","","",""
"Parrot","Perl5,Raku,NQP-rx,PIR,PASM,PBC,BASIC,bc,C99,ECMAScript,Lisp,Lua,m4,Tcl,WMLScript,XML,andothers","","Yes","Yes","C,Perl","111kC,240kPerl"
"Perlvirtualmachine","Perl","op-codetreewalker","Yes","No","C,Perl","175kC,9kPerl"
"CPython","Python","","Yes","PsycoUnladenSwallow","C","387kC,368kPython,10kASM,31kPsyco"
"PyPy","Python","Self-hostingimplementationofPython,nextgenerationofPsyco","Yes","Yes","Python",""
"Rubinius","Ruby","VirtualmachineforanotherRubyimplementation","Yes","Yes","C++,Ruby",""
"Silverlight","C#,VB.NET","AMicro-versionofMicrosoft.NETFrameworktoletapplicationsrunsandboxedinsidebrowser","Yes","Yes","C++","7MB(initiallyreleased)"
"ScummVM","Scumm","Computergameengine","","","",""
"SECD","ISWIM,LispkitLisp","","","","",""
"Squirrel","Squirrel","","Yes","Squirrel_JIT","C++","12k"
"Smalltalk","Smalltalk","","","","",""
"SQLite","SQLiteopcodes","Virtualdatabaseengine","","","",""
"Squeak","SqueakSmalltalk","SelfhostingimplementationofSqueakvirtualmachine.Richmulti-mediasupport.","Yes","Cog&Exupery","Smalltalk/Slang","110kSmalltalk,~300KC"
"SWI-Prolog","Prolog:SWI-Prolog,YAP","","Yes","No","C,SWI-Prolog",""
"TraceMonkey","JavaScript","BasedonTamarin","No","Yes","C++","173k"
"TrueType","TrueType","Fontrenderingengine","Yes","No","C(typically)",""
"Valgrind","x86/x86-64binaries","CheckingofmemoryaccessesandleaksunderLinux","","","C","467k"
"VisualWorks","Smalltalk","","No","Yes","C",""
"Vx32virtualmachine","x86binaries","Application-levelvirtualizationfornativecode","No","Yes","",""
"Waba","","Virtualmachineforsmalldevices,similartoJava","","","",""
"YetAnotherRubyVM(YARV)","Ruby","VirtualmachineofthereferenceimplementationforRuby1.9andnewerversions","Yes","Yes","C",""
"Z-machine","Z-Code","","","","",""
"ZendEngine","PHP","","Yes","No","C","75k"
