"Implementation","Dependencies","Optionaldependencies"
"Botan","C++11","sqlitezlib(compression)bzip2(compression)liblzma(compression)boostopenssl(cryptobackend)trousers(TPM)"
"GnuTLS","libcnettlegmp","zlib(compression)p11-kit(PKCS#11)trousers(TPM)libunbound(DANE)"
"JSSE","Java",""
"MatrixSSL","none","zlib(compression)"
"MatrixSSL-open","libcornewlib",""
"MbedTLS","libc","libpkcs11-helper(PKCS#11)zlib(compression)"
"NSS","libclibnspr4libsoftokn3libplc4libplds4","zlib(compression)"
"OpenSSL","libc","zlib(compression)"
"wolfSSL","None","libczlib(compression)"
"Erlang/OTPsslapplication","libcrypto(fromOpenSSL),Erlang/OTPanditspublic_key,cryptoandasn1applications","Erlang/OTP-inets(httpfetchingofCRLs)"
"Implementation","Dependencies","Optionaldependencies"
