"Name","AccuRev","BitKeeper","CAHarvest","ClearCase","CVS","Darcs","Git","GNUBazaar","Integrity","Mercurial","Perforce","Plastic","PVCS","StarTeam","Subversion","Surround","Synergy","TeamConcert","TFVC","Vault","VisualSourceSafe"
"ApacheGump","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
"AppVeyor","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No"
"AzureDevOpsServer","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No"
"Bamboo","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","No"
"Buddy","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"BuildBot","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No"
"BuildMaster","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes"
"Jenkins","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"OpenMakeSoftwareMeister","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Semaphore(software)","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"TeamCity","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes"
"Vexor","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
