"IDE","License","Windows","Linux","macOS","Otherplatforms","Writtenin","Debugger","GUIbuilder","Integratedtoolchain","Profiler","Codecoverage","Autocomplete","Staticcodeanalysis","GUI-baseddesign","Classbrowser","Lateststablerelease","Ccompiler","C++compiler","Refactoring"
"Anjuta","GPL","No","Yes","No","FreeBSD","C","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","2016-03","Yes","Yes","No"
"AppCode(IntelliJIDEA)","Proprietary","No","No","Yes","","Java","Yes","Yes","No","Yes(Xcodeprofiler)","No","Yes","Yes","Yes","Yes","2012-12","Yes(Xcodetoolchain)","Yes(Xcodetoolchain)","Yes"
"C++Builder","Proprietary,Freeware(Startereditiononly)","Yes","No(Crosscompilerplanned)","Yes(Crosscompiler)","cross-compilesforAndroidandiOS","C++andObjectPascal","Yes","Yes","Yes","Yes(AQTimeStandardinpackagemanager)","Yes","Yes","Yes","Yes","Yes","2017-03Tokyo10.2","Yes","Yes","Yes"
"Code::Blocks","GPL","Yes","Yes","Yes","FreeBSD,OpenBSD,Solaris","C++","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2020-03","Yes(MinGW+custom)","Yes(MinGW+custom)","Yes"
"CodeLite","GPL","Yes","Yes","Yes","FreeBSD","C++","Yes","Yes","Yes","Yes(AsofCodeLite6.1,integrationwithValgrind)","No","Yes","Yes","Yes","Yes","2020-02-28","Yes(GCC,Clang,VC+custom)","Yes(GCC,Clang,VC+custom)","Yes"
"Dev-C++","GPL","Yes","No","No","FreeBSD","ObjectPascal","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","2020-10-12","Yes","Yes","No"
"EclipseCDT","EPL","Yes","Yes","Yes","FreeBSD,JVM,Solaris","C++,Java","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2020-06","External","External","Yes"
"Geany","GPL","Yes","Yes","Yes","FreeBSD,AIX,OpenBSD,Solaris,otherUnix","C","Yes(viaaplug-in)","No","No","No","No","Yes","No","No","Yes","2019-04","External","External","No"
"GNATProgrammingStudio","GPL","Yes","Yes","Yes","DragonFlyBSD,FreeBSD,NetBSD,OpenBSD,Solaris","Ada","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","2016-06","Yes","Yes","Yes"
"JetBrainsCLion","Proprietary","Yes","Yes","Yes","","Java","Yes","No","Yes","No","No","Yes","Yes","No","Yes","2019-07","Yes(customizable)","Yes(customizable)","Yes"
"KDevelop","GPL","Yes","Yes","Yes","FreeBSD,Solaris","C/C++","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2018-11","External","External","Yes"
"LabWindows/CVI","Proprietary","Yes","No","No","cross-compiletoLinux,PharLapETS","?","Yes","Yes","Yes","Yes","No","Yes","No","Yes","N/A","2016-12","Yes","No","No"
"MicrosoftVisualStudio","Proprietary,Freeware(Communityeditiononly)","Yes","Yes","No","MacOS7(v2.x-v4.xonly)","C++andC#","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2019-04","Yes","Yes","Yes(alsoplugin)"
"MicrosoftVisualStudioCode","MIT","Yes","Yes","Yes","","TypeScriptJavaScriptCSS","Yes","No","Yes","No","No","Yes","No","Yes","Yes","2020-09","External","External","Requireslanguageserversupport"
"MonoDevelop","LGPL","Yes","Yes","Yes","FreeBSD,OpenBSD,Solaris","C#","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","2016-11","Yes(GCC+custom)","Yes(GCC+custom)","Yes"
"NetBeansC/C++pack","ApacheLicense","Yes","Yes","Yes","OpenBSD,Solaris","Java","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","12.6(29November2021)[±]","External","External","Yes"
"OpenWatcom","OSIApproved","Yes(32-bitonly)","partial","No","FreeBSD,DOS,OS/2","C/C++","Yes(GUIremote)","Yes","Yes","Yes","No","No","No","Yes","Yes","2010-06","Yes","Yes","No"
"OracleSolarisStudio(formerlySunStudio)","Proprietary,Freeware","No","Yes","No","Solaris","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2008-11","Yes","Yes","Yes"
"QtCreator","GPL/LGPL/Proprietary","Yes","Yes","Yes","FreeBSD,Maemo,OpenBSD,Symbian","C++","Yes","Yes","Yes","Yes","No","Yes","Yes(clang)","Yes","Yes","2019-06","External","External","Yes"
"RationalSoftwareArchitect(EclipseIBM)","Proprietary","Yes","Yes","No","FreeBSD,JVM,Solaris","Java","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2015-09","External","External","Yes"
"SlickEdit","Proprietary","Yes","Yes","Yes","Solaris,SolarisSPARC,AIX,HP-UX","C++","Yes","No","Yes","No","No","Yes","No","Yes","Yes","2018-12","External","External","Yes"
"Ultimate++TheIDE","BSD","Yes","Yes","Yes","FreeBSD,Solaris","C++","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","2020-05","External","External","No"
"Understand","Proprietary","Yes","Yes","Yes","Solaris","?","No","No","No","No","No","Yes","Yes","No","Yes","2015-12","No","No","Yes"
"Xcode(Apple)","Proprietary","No","No","Yes","crosscompilestoiOS","C,C++,Objective-C,Objective-C++","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2016-12","Yes,llvm(llvm-gccandgccdeprecated)","Yes,llvm(llvm-gccandgccdeprecated)","Yes"
"IDE","License","Windows","Linux","macOS","Otherplatforms","Writtenin","Debugger","GUIbuilder","Integratedtoolchain","Profiler","Codecoverage","Autocomplete","Staticcodeanalysis","GUI-baseddesign","Classbrowser","Lateststablerelease","Ccompiler","C++compiler","Refactoring"
