"Version","Shell","Visualstyles","Browser","Webserver","WindowsMediaPlayer","Command-lineinterpreter"
"Windows1.0","MS-DOSexecutive","(Unnamed)","N/A","N/A","N/A","N/A"
"Windows2.0","MS-DOSexecutive","(Unnamed)","N/A","N/A","N/A","N/A"
"Windows3.0","ProgramManager","(Unnamed)","N/A","N/A","3.0(MultimediaExtensioneditiononly)","N/A"
"Windows3.1x","ProgramManager","(Unnamed)","N/A","N/A","3.1","N/A"
"Windows95","Windowsshell","Classic","InternetExplorer1inOEMRTMInternetExplorer2inOSR1InternetExplorer3inOSR2andOSR2.1InternetExplorer4inOSR2.5","N/A","4.0","COMMAND.COM"
"WindowsNT4.0","Windowsshell","Classic","InternetExplorer2InternetExplorer3(insomelocalizededitions)","PWS","4.0","COMMAND.COM,CMD.EXE"
"Windows98","Windowsshell","Classic","InternetExplorer4.01","PWS","4.0","COMMAND.COM"
"Windows98SE","Windowsshell","Classic","InternetExplorer5","PWS","4.0","COMMAND.COM"
"Windows2000","Windowsshell","Classic","InternetExplorer5.01","IIS5.0","5.0and6.4(sidebyside)","COMMAND.COM,CMD.EXE"
"WindowsMe","Windowsshell","Classic","InternetExplorer5.5","N/A","6.4and7.0(sidebyside)","COMMAND.COM"
"WindowsXP","Windowsshell","Luna(default),Classic","InternetExplorer6","IIS5.1","5.1,6.4and8(inRTM)5.1,6.4and9(inSP2)","COMMAND.COM,CMD.EXE,PowerShell(optional)"
"WindowsServer2003","Windowsshell","Classic(default),Luna","InternetExplorer6","IIS6.0","9(inRTM),10(inSP1)","COMMAND.COM,CMD.EXE,PowerShell(optional)"
"WindowsVista","Windowsshell","Aero(default),Classic","InternetExplorer7","IIS7","11","COMMAND.COM,CMD.EXE,PowerShell(optional)"
"WindowsServer2008","Windowsshell,ServerCore","Classic(default),Aero(via""DesktopExperience"")","InternetExplorer7","IIS7","11(enabledbyinstalling""DesktopExperience"")","COMMAND.COM,CMD.EXE,PowerShell(optional)"
"Windows7","Windowsshell","Aero(default),Classic","InternetExplorer8","IIS7.5","12","COMMAND.COM,CMD.EXE,PowerShellv2.0"
"WindowsServer2008R2","Windowsshell,ServerCore","Classic(default),Aero(via""DesktopExperience"")","InternetExplorer8","IIS7.5","12(via""DesktopExperience"")","CMD.EXE,PowerShellv2.0"
"WindowsServer2012","Windowsshell,ServerCore","Metro","InternetExplorer10","IIS8","12(via""DesktopExperience"")","CMD.EXE,PowerShellv3.0"
"Windows8","Windowsshell","Metro","InternetExplorer10","IIS8","12","COMMAND.COM,CMD.EXE,PowerShellv3.0"
"WindowsServer2012R2","Windowsshell,Windowsservercore","Metro","InternetExplorer11","IIS8.5","12(via""DesktopExperience"")","CMD.EXE,PowerShellv4.0"
"Windows8.1","Windowsshell","Metro","InternetExplorer11","IIS8.5","12","COMMAND.COM,CMD.EXE,PowerShellv4.0"
"Windows10","Windowsshell","Metro","InternetExplorer11MicrosoftEdge12-13","IIS10.0","12","COMMAND.COM,CMD.EXE,PowerShellv5.0"
"WindowsServer2016","Windowsshell,Windowsservercore","Metro","InternetExplorer11MicrosoftEdge13","IIS10.0","12(via""DesktopExperience"")","CMD.EXE,PowerShellv5.0"
"WindowsServer2019","Windowsshell,Windowsservercore","Metro","InternetExplorer11MicrosoftEdge13","IIS10.0","12(via""DesktopExperience"")","CMD.EXE,PowerShellv5.0"
