"ADCclient","FOSS","Softwarelicense","Active","LastUpdate"
"AirDC++","Yes","GNUGPL","Yes","2021"
"AirDC++WebClient","Yes","GNUGPL,MIT","Yes","2021"
"ApexDC++","Yes","GNUGPL","Yes","2019"
"DC++","Yes","GNUGPL","Yes","2021"
"jucy","Yes","BSD","Yes","2014"
"LinuxDC++","Yes","GNUGPL","No","2011"
"EiskaltDC++","Yes","GNUGPL","Yes","2021"
"FlylinkDC++","Yes","GNUGPL","Yes","2021"
"RSX++","Yes","GNUGPL","No","2011"
"TkDC++","Yes","GNUGPL","No","2010"
"StrongDC++","Yes","GNUGPL","No","2010"
"RevConnect","Yes","GNUGPL","No","2007"
"ncdc","Yes","MIT","Yes","2019"
"ADCclient","FOSS","Softwarelicense","Active",""
