"Name","Language","License","Type","Configurabletitlebarbuttons","Graphicalconfiguration","Hotkeys","ICCCM/EWMHcompliant","Panelforwindowswitching","Tabbedwindows","Themeable","Memory(MB)","InitialRelease","LatestStableRelease"
"9wm","C","MIT","Stacking","No","No","No","","Yes","No","No","0.4","1994","2018-04-09"
"aewm","C","MIT","Stacking","No","No","No","Yes","Yes","No","No","","",""
"awesome","C,Lua","GPL","Dynamic","Yes","No","Yes","Yes","Yes","No","Yes","9","2007-09-18",""
"Berry","C","MIT","Stacking","No","viaCLIclient","viaCLIclientandthirdparty(e.g.sxhkd)","No","No","No","Yes","","2018-08-24","2019-09-21"
"Blackbox","C++","MIT","Stacking","No","third-party","withbbkeys","through0.65/from0.70","Yes","No","Yes","3","",""
"bspwm","C","BSD","Tiling","No","No","withsxhkd","Partial","No","No","No","","2013-04-23","2020-08-02"
"Compiz","C(OpenGL)","MIT","Compositing","Yes","Yes","Yes","Yes","third-party","Yes","Yes","","2006","2016-11-11"
"cwm","C","ISC","Stacking","notitlebarbuttons","No","Yes","","No","No","Yes","","2004-07-10","2019-09-17"
"dwm","C","MIT","Dynamic","notitlebarbuttons","No","Yes","","Yes","No","Yes","1","2006-07-14",""
"Enlightenment","C","BSD","Compositing","Yes","Yes","Yes","Yes","Yes","No","Yes","","1997","2020-07-26"
"evilwm","C","MIT","Stacking","notitlebarbuttons","No","Yes","Partial","No","No","Yes","","2000","2015-07-13"
"EXWM","EmacsLisp","GPL","Tiling","No","No","Yes","Partial","No","No","Yes","","",""
"Fluxbox","C++","MIT","Stacking","Yes","third-party","Yes","Yes","Yes","Yes","Yes","16","2001-09-12","2015-02-08"
"FLWM","C++(FLTK)","GPL","Stacking","","No","Yes","","Thereisawindowlistmenu","No","No","","1998",""
"FVWM","C","GPL","Dynamic","Yes","No","Yes","Yes","Yes","Yes","third-party","4","1993-06-01","2021-07-17"
"i3","C","BSD","Dynamic","notitlebarbuttons","No","Yes","Yes","No","Yes","Yes","3","2009-03-15","2021-10-19"
"IceWM","C++","LGPL","Stacking","Yes","third-party","Yes","Yes","Yes","No","Yes","4.5","1997","2020-09-17"
"Ion","C,Lua","LGPLwithnamingrestrictionsonmodifiedversions","Tiling","notitlebarbuttons","No","Yes","","No","Yes","Yes","","2000","2009-01-10"
"JWM","C","MIT(FormerlyGPL)","Stacking","Yes","third-party","Yes","EWMH","Yes","No","Yes","3","2003",""
"KWin(KDE)","C++(Qt)","GPL","Compositing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","41","","2019-01"
"Matchbox","C","GPL","Stacking","","","","EWMHcompliance","No","No","Yes","","2007-04-13",""
"Metacity(GNOME)","C,C++(GTK+)","GPL","Compositing","Yes","Yes","Yes","Yes","Yes","No","Yes","","2002-10","2020-10"
"Mutter(GNOME/MeeGo)","C(Clutter)","GPL","Compositing","Yes","Yes","Yes","Yes","GnomeShell","No","Yes","18.6","2011-04","2020-11"
"mwm(MotifWindowManager)","C","TheOpenGroupPublicLicense","Stacking","No","No","Yes","","","","canchangecolours","","1989",""
"Openbox","C","GPL","Stacking","Yes","third-party","Yes","Yes","third-party","No","Yes","7","2002-09-18",""
"PekWM","C++","GPL","Stacking","Yes","No","Yes","Partial","No","Yes","Yes","5.3","",""
"PlayWM","C","GPL","Stacking","Yes","No","Yes","Yes","Yes","No","Yes","","",""
"Qtile","Python","MIT","Dynamic","Yes","No","Yes","Yes","","Yes","Yes","2","2008-08-31","2021-09-16"
"Ratpoison","C","GPL","Tiling","No","No","Yes","No","No","No","No","1","2000-12-04",""
"Sawfish","Lisp,C","GPL","Stacking","Yes","Yes","Yes","Partial","Yes","primitive","Yes","3.1","2000-01-01","2021-12-24"
"SithWM","C","GPL","Stacking","notitlebarbuttons","No","Yes","","No","No","Yes","","",""
"spectrwm","C","ISC","Dynamic","notitlebarbuttons","No","Yes","Yes","No","No","solidcolors","","",""
"steamcompmgr","C","BSD-2-clause","Compositing","No","No","Yes","","No","No","No","","2013",""
"StumpWM","CommonLisp","GPL","Tiling","No","No","Yes","No","No","No","No","","",""
"twm","C","MIT","Stacking","Yes","No","Yes","","Yes","No","solidcolors","1.2","1987",""
"uwm","C","SimilartoBSDlicense","Stacking","","","","","","","","","1985",""
"WindowMaker","C","GPL","Stacking","No","Yes","Yes","Partial","Yes","Yes","Yes","7","1997","2017-03-11"
"Wingo","Go","WTFPL","Dynamic","Yes","No","Yes","Yes","Yes","No","Yes","","",""
"WMFS","C","BSD","Tiling","Yes","No","Yes","Yes","Yes","Yes","Yes","","",""
"wmii","C","MIT","Dynamic","Yes","No","Yes","Yes","No","Yes","Yes","","2005-06-01",""
"Xfwm(Xfce)","C,C++(GTK+)","GPL,LGPL","Compositing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","70","1996","2019-08-12"
"xmonad","Haskell","BSD","Dynamic","Yes","No","Yes","Yes/?","third-party","Yes","Yes","2","2007-03-06",""
"Name","Language","License","Type","Configurabletitlebarbuttons","Graphicalconfiguration","Hotkeys","ICCCM/EWMHcompliant","Panelforwindowswitching","Tabbedwindows","Themeable","Memory(MB)","Initialrelease","LastStableRelease"
