"Client","Pop-up","Traynotification","Browserplugin","E-mail","""newspaper""-like","Mediaaggregator","Notes","Downloadableattachments"
"Akregator","Yes","Yes","Yes(integrationwithkonqueror)","Yes","?","Yes","KDE","?"
"Amarok","?","?","?","?","?","Yes","KDE","?"
"AOLExplorer","?","?","N/A","?","?","?","Discontinued;FeedsupportisavailableinInternetExplorer7","?"
"Avant","?","?","N/A","?","?","?","FeedsupportisavailableinInternetExplorer7","?"
"Awasu","Yes","Yes","N/A","Yes","Yes","Yes","Supportsuser-writtenplugins.","Yes"
"BlogBridge","?","?","?","?","?","?","","?"
"Canto","?","?","?","?","?","?","Ncurses/consolebasedreader","?"
"ClawsMail","Yes","Yes","Yes","Yes","?","?","RSSylpluginneeded","?"
"CommaFeed","?","?","Yes","?","Yes","?","Webbrowser","?"
"Cooliris","?","?","Yes","?","?","?","Webbrowserplugin","?"
"FeedViewer","No","No","N/A","No","Yes","Yes","","No"
"FeedDemon","?","Yes","?","?","Yes","?","Discontinued","?"
"Feedreader","Yes","No","No","?","Yes","?","","?"
"Flock","?","?","N/A","?","?","Yes","Discontinued","?"
"Gnus","Add-on","?","?","Yes","?","?","Emacs-basedmailandnewsclient","?"
"IBMLotusNotes","?","?","?","?","?","?","StudioBlogReaderisoneRSSreaderapplicationforIBMLotusNotes;Notesversion8.xintroducedanativeRSSreader","?"
"InternetExplorer","?","?","N/A","?","Yes","?","FeedsupportisavailableinInternetExplorer7","?"
"iTunes","?","?","?","?","?","Yes","","?"
"Juice","?","?","?","?","?","Yes","DesignedasPodcastaggregator","?"
"K-Meleon","?","?","?","?","?","?","Webbrowser","?"
"Kazehakase","?","?","N/A","?","?","?","Webbrowser","?"
"Liferea","Yes","Yes","?","?","?","?","","?"
"Mail(OSX)","?","?","?","Yes","?","?","","?"
"Maxthon","?","?","N/A","?","?","?","Webbrowser","?"
"MediaMonkey","?","?","?","?","?","Yes","MediaPlayer","?"
"MicrosoftOfficeOutlook","?","?","?","?","?","?","FeedsupportisavailableinMicrosoftOfficeOutlook2007","?"
"Miro","?","?","?","?","?","Yes","MediaPlayer","?"
"MozillaFirefox","Add-on","Add-on","N/A","?","?","?","WebBrowser","?"
"MozillaThunderbird","?","Add-on","?","Yes","No","?","MailClient","?"
"NetNewsWire","?","?","?","?","?","?","","?"
"NetscapeBrowser","?","?","N/A","?","?","?","Discontinued;Webbrowser","?"
"NetscapeNavigator9","Yes","?","N/A","?","?","?","Discontinued","?"
"NewsBlur","?","?","?","?","?","?","","?"
"NewsFire","?","?","?","?","?","?","","?"
"OmniWeb","?","?","?","?","?","?","PartoftheOmniWebbrowser","?"
"OperaMail","Yes","Yes","No","Yes","No","?","","Yes"
"PegasusMail","?","?","?","Yes","?","?","PegasusMailcanconvertRSSfeedstoe-mailsviafreeadd-ons","?"
"Rhythmbox","?","?","?","?","?","?","MediaPlayer","?"
"RSSBandit","?","?","?","?","?","?",".NETFrameworkbased","?"
"RSSGuard","No","Yes","No","Yes","Yes","Yes","Qt-based,supportsonlinefeed/messagesynchronizationviaTinyTinyRSS,NextcloudNews,Inoreaderandothers.SupportspluginswritteninC++/Qt,custommessagefiltersviaJavaScript,tags/labels.","Yes"
"RSSOwl","Yes","Yes","No","No","Yes","Yes","nolongersupportforGoogleReadersynchronizationsinceversion2.2.0","Yes"
"Safari","?","?","N/A","?","Yes","?","WebBrowser","?"
"Sage","?","?","?","?","Yes","?","aFirefoxextension","?"
"SeaMonkeyMail&Newsgroups","?","?","N/A","Yes","?","?","PartoftheSeaMonkeyInternetsuite","?"
"Songbird","?","?","?","?","?","Yes","MediaPlayer","?"
"Shiira","?","?","N/A","?","?","?","Webbrowser","?"
"Sleipnir","?","?","N/A","?","?","?","FeedsupportisavailableinInternetExplorer7","?"
"TheBat!","?","?","?","Yes","No","No","Mailclient;rss2mailorrss2pop3pluginneededforversionspriorto6.4;newerversionssupportRSSnatively","?"
"TheOldReader","?","?","Yes","?","?","?","","?"
"Winamp","No","?","No","No","No","Yes","MediaPlayer","?"
"WindowsLiveMail","?","?","?","Yes","?","?","","?"
"Zimbra","?","?","?","?","?","?","Groupwaresuite","?"
"Zune","?","?","?","?","?","Yes","Mediaplayer","?"
"Client","Pop-up","Traynotification","Browserplugin","E-mail","""newspaper""-like","Mediaaggregator","Notes","Downloadableattachments"
