"Name","WindowsNT","WindowsMobile(incl.PocketPC)","FreeBSD","Linux","MacOSX","NetBSD","OpenBSD","DragonFlyBSD","Android","iOS"
"AloahaCryptDisk","Yes","No","No","No","No","No","No","No","?","?"
"BestCryptVolumeEncryption","Yes","No","No","No","Yes","No","No","No","?","?"
"BitArmorDataControl","Yes","No","No","No","No","No","No","No","?","?"
"BitLocker","Yes","No","No","Partial","Partial","No","No","No","No","?"
"BloombaseStoreSafe","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Boxcryptor","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes"
"CenterToolsDriveLock","Yes","No","No","No","No","No","No","No","?","?"
"CGD","No","No","No","No","No","Yes","No","No","?","?"
"CheckPointFullDiskEncryption","Yes","Yes","No","Yes","Yes","No","No","No","?","?"
"CipherShed","Yes","No","No","Yes","Yes","No","No","No","Yes","?"
"CrossCrypt","Yes","No","No","No","No","No","No","No","No","?"
"CryFS","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","?"
"Cryhod","Yes","No","No","Yes","No","No","No","No","?","?"
"Cryptainer","Yes","Yes","No","No","No","No","No","No","?","?"
"CryptArchiver","Yes","No","No","No","No","No","No","No","?","?"
"CrypticDisk","Yes","No","No","No","No","No","No","No","No","No"
"Cryptoloop","Yes","No","No","Yes","No","No","No","No","?","?"
"Cryptomator","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes"
"CryptoProSecureDiskEnterprise","Yes","No","No","No","No","No","No","No","No","?"
"CryptoProSecureDiskforBitLocker","Yes","No","No","No","No","No","No","No","No","?"
"Cryptsetup/Dmsetup","Yes","No","No","Yes","No","No","No","Yes","?","?"
"CryptSync","Yes","No","No","Yes","Yes","No","No","No","No","?"
"Discryptor","No","No","No","No","No","No","No","No","?","?"
"DiskCryptor","Yes","No","No","No","No","No","No","No","?","?"
"DISKProtect","Yes","No","No","No","No","No","No","No","?","?"
"Dm-crypt/LUKS","Yes","Yes","No","Yes","No","No","No","Yes","?","?"
"DriveCrypt","Yes","No","No","No","No","No","No","No","?","?"
"DriveSentryGoAnywhere2","Yes","No","No","No","No","No","No","No","?","?"
"E4M","Yes","No","No","No","No","No","No","No","?","?"
"e-CapsulePrivateSafe","Yes","No","No","No","No","No","No","No","?","?"
"eCryptfs","No","No","No","Yes","No","No","No","No","?","?"
"EgoSecureHDDEncryption","Yes","No","No","No","No","No","No","No","?","?"
"EncFS","Yes","Yes","Yes(FUSE)","Yes(FUSE)","Yes","Yes(FUSE)","Yes(FUSE)","Yes(FUSE)","Yes","?"
"EncryptStick","Yes","No","No","Yes","Yes","No","No","No","?","?"
"EncryptUSB","Yes","No","No","No","Yes","No","No","No","?","?"
"FileVault","No","No","No","No","Yes","No","No","No","?","?"
"FileVault2","No","No","No","Partial","Yes","No","No","No","?","?"
"FREECompuSec","Yes","No","No","No","No","No","No","No","?","?"
"FreeOTFE","Yes","Yes","No","Partial","No","No","No","No","No","?"
"GBDE","No","No","Yes","No","No","No","No","No","?","?"
"GELI","No","No","Yes","No","No","No","No","No","?","?"
"Knox","No","No","No","No","Yes","No","No","No","?","?"
"LibreCrypt","Yes","No","No","Partial","No","No","No","No","Yes","?"
"Loop-AES","No","No","No","Yes","No","No","No","No","?","?"
"McAfeeDriveEncryption(SafeBoot)","Yes","Yes","No","No","Yes","No","No","No","?","?"
"n-CryptPro","Yes","No","No","No","No","No","No","No","?","?"
"NetLibEncryptionizer(directoryencryption)","Yes","No","No","No","No","No","No","No","No","No"
"PGPDisk","Yes","No","No","No","Yes","No","No","No","?","?"
"PGPWholeDiskEncryption","Yes","Yes","No","Yes","Yes","No","No","No","?","?"
"PrivateDisk","Yes","No","No","No","No","No","No","No","?","?"
"ProxyCrypt","Yes","No","No","No","No","No","No","No","No","?"
"R-Crypto","Yes","No","No","No","No","No","No","No","?","?"
"SafeGuardEasy","Yes","No","No","No","No","No","No","No","?","?"
"SafeGuardEnterprise","Yes","No","No","No","Yes","No","No","No","?","?"
"SafeGuardPrivateDisk","Yes","No","No","No","No","No","No","No","?","?"
"SafeHouseProfessional","Yes","No","No","No","No","No","No","No","?","?"
"Scramdisk","Yes","No","No","Yes","No","No","No","No","?","?"
"Scramdisk4Linux","No","No","No","Yes","No","No","No","No","?","?"
"SecuBox","No","Yes","No","No","No","No","No","No","?","?"
"SecureDoc","Yes","No","No","Yes","Yes","No","No","No","?","?"
"Sentry2020","Yes","No","No","No","No","No","No","No","?","?"
"SeqriteVolumeEncryption","Yes","No","No","No","No","No","No","No","No","No"
"Softraid/RAIDC","No","No","No","No","No","No","Yes","No","?","?"
"SpyProof!","Yes","No","No","No","No","No","No","No","?","?"
"Svnd/Vnconfig","No","No","No","No","No","No","Yes","No","?","?"
"SymantecEndpointEncryption","Yes","No","No","No","Yes","No","No","No","?","?"
"Tcplay","No","No","No","Yes","No","No","No","Yes","No","?"
"TrendMicroEndpointEncryption","Yes","No","No","No","Yes","No","No","No","No","?"
"TrueCrypt","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes"
"USBCrypt","Yes","No","No","No","No","No","No","No","No","?"
"VeraCrypt","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"CyberSafeTopSecret","Yes","No","No","No","No","No","No","No","Yes","?"
"Name","WindowsNT","WindowsMobile(incl.PocketPC)","FreeBSD","Linux","MacOSX","NetBSD","OpenBSD","DragonFlyBSD","Android","iOS"
