"Application","Creator","Softwarelicense"
"AshampooBurningStudio","AshampooSoftware","Freemium"
"Alcohol120%","AlcoholSoft","Shareware"
"CDBurnerXP","StefanHaglund,FredrikHaglund","Freeware[1]"
"cdrtools","JörgSchilling","Open-source(CDDLpartsareGPL)"
"DeepBurner","Astonsoft","Freemium"
"ImgBurn","LIGHTNINGUK!","Freeware[2]"
"InfraRecorder","ChristianKindahl","Open-source(GPL)"
"K3b","SebastianTrüg,ChristianKvasny","Open-source(GPL)"
"Libburnia","Libburniateam","Open-source(GPL)"
"NeroBurningROM","AheadSoftware","Shareware"
"UltraISO","EZBSystems","Shareware"
"X-CD-Roast","T.Niederreiter","Open-source(GPL)"
"Application","Creator","Softwarelicense"
