"Word","Afrikaansmeaning","Dutchmeaning"
"aardig","pleasant,strange","friendly"
"aftrek(ken)","distract","deduct,also""tojerkoff"",malemasturbation"
"amper","nearly","scarcely"
"bees(t)","genericsingularforcattle(cow,bull,etc.)","animal"
"bliksem","lightning,alsoexpletivemeaning""bastard""(asnoun)and""bloody""(asadjective).Itcanalsomeantohitoranintentiontohitsomeonetocausegreatbodilyharmasin""Ekgaanjoubliksem""-""Iamgoingtokill/hityou.""","lightning"
"brommer","bluebottlefly(insect)","motorcycleorscooter"
"dassie","rockhyrax(Procaviacapensis)","Europeanbadger(Melesmeles)(diminutive)"
"die","the","thatone,which,who"
"dit","it","this,these"
"doos","box,alsoexpletive""cunt""","box,case,also""daftwoman"""
"fok(ken)","fuck,fucking","tobreed,torear(animalhusbandry)"
"geitj(i)e","gecko(reptile)","smallgoat"
"het","have,has","the(neutergender)"
"Holland","Netherlands","formerprovinceofHolland"
"houtkop","racialslurforblackAfrican,literally""woodenhead""","""woodenhead"""
"kaal","naked","bald"
"koeke(n)pan","minecartorskip(rollingstockusedinmining)","cakepan"
"kont","femalegenitals,alsoexpletive""cunt""","buttocks"
"kuier(en)","visit","goforawalk"
"l(e/i)moen","orange(fruit)","lime"
"lol","causetrouble","havefun"
"motor","motorcar","motorcycle"
"na","to","after"
"Nederduits","Dutch(asinDutchReformedChurch)","LowGermanDutchformerlyusedthetermtorefertotheDutchlanguage"
"neuk(en)","strike,hit","screw,hump,havesexwith"
"piel","expletive""dick"",""penis""","duckling"
"poes","expletive""cunt""or""pussy""","pussycat,tabby(althoughpoesjeisusedasavulgartermfor""vagina"")"
"sop","soup","dishwater"
"stoep","veranda","sidewalk"
"vat","take","grab,seize"
"verskoon","excuse","clean"
"waaier","electricfan","handfan"
