"Shell","Usualenvironment","Usuallyinvoked","Introduced","Platform-independent","Defaultloginshellin","Defaultscriptshellin","License","Sourcecodeavailability","Userinterface","Mousesupport","Unicodesupport","ISO8601support","Consoleredirection","Streamredirection","Configurability","Startup/shutdownscripts","Batchscripts","Logging","availableasstaticallylinked,independentsinglefileexecutable"
"Thompsonshell","UNIX","sh","1971","N/A","UNIX","UNIX","N/A","Yes","Text-basedCLI","No","No","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
"Bourneshell1977version","7thEd.UNIX","sh","1977","Yes","7thEd.UNIX","7thEd.UNIX,","Proprietary","Yes","Text-basedCLI","No","No","N/A","Yes","Yes(arbitraryfds)","Yes(viavariablesandoptions)","Yes(.profile)","Yes(Unixfeature)","No","Yes"
"Bourneshellcurrentversion","VariousUNIX","sh","1977","Yes","SunOS-5.x,FreeBSD(non-rootuser)","SunOS-5.x","CDDL","Yes","Text-basedCLI","No","Yes","N/A","Yes","Yes(arbitraryfds)","Yes(viavariablesandoptions)","Yes(.profile)","Yes(Unixfeature)","Yes","Yes"
"POSIXshell","POSIX","sh","1992","N/A","N/A","POSIX","N/A","N/A","Text-basedCLI","No","Yes,ifusedbyconfiguredlocale","N/A","Yes","Yes(arbitraryfds)","Yes(viavariablesandoptions)","Unspecified(.profilegivenasanexample)","Yes(Unixfeature)","Yes","N/A"
"bash(v4)","POSIX","bash,sh","1989","Yes","GNU,Linux(defaultforroot),macOS10.3–10.14","GNU,Linux,Haiku,macOS10.3–10.14","GPL","Yes","Text-basedCLI","No","Yes","Yes(printfbuiltin)","Yes","Yes(arbitraryfds)","Yes(viavariablesandoptions)","Yes(/etc/profile,.bash_profile,.bash_login,.profile,.bashrc)","Yes(Unixfeature)","Yes","Yes"
"csh","POSIX","csh","1978","Yes","SunOS","?","BSD","Yes","Text-basedCLI","No","No","?","Yes","Yes(stdin,stdout,stdout+stderr)","Yes(viavariablesandoptions)","Yes(~/.cshrc,~/.login,~/.logout)","Yes(Unixfeature)","Yes","Yes"
"tcsh","POSIX","tcsh,csh","1983","Yes","FreeBSD(defaultforroot),formerlyMacOSX","?","BSD","Yes","Text-basedCLI","No","Yes","?","Yes","Yes(stdin,stdout,stdout+stderr)","Yes(viavariablesandoptions)","Yes(/etc/csh.cshrc,/etc/csh.login,~/.tcshrc,~/.cshrc,~/.history,~/.login,~/.cshdirs)","Yes(Unixfeature)","Yes","Yes"
"HamiltonCshell","Win32,OS/2","csh","1988","Yes(OS/2versionnolongermaintained)","Optional","Optional","Proprietary","No","Text-basedCLI","No","No","Yes(-ttimestampoperator)","Yes","Yes(stdin,stdout,stdout+stderr)","Yes(viavariablesandoptions)","Yes(vialogin.csh,startup.cshandlogout.csh)","Yes(commandlineoption)","Yes","Yes"
"Scsh","POSIX","scsh","1994","Yes","?","?","BSD-style","Yes","?","?","?","?","?","Yes","?","?","?","?","Yes"
"ksh(ksh93t+)","POSIX","ksh","1983","Yes","AIX,HP-UX","OpenSolaris","CommonPublicLicense","Yes","Text-basedCLI","No","Yes","Yes(printfbuiltinwith%(%F)T)","Yes","Yes(fdsupto9)","Yes(viavariablesandoptions)","Yes(systemanduser'sprofileandkshrc)","Yes(Unixfeature)","Yes","Yes"
"pdksh","POSIX","ksh,sh","1989?","Yes","OpenBSD","OpenBSD","PublicDomain","Yes","Text-basedCLI","No","No","N/A","Yes","Yes(arbitraryfds)","Yes(viavariablesandoptions)","Yes(/etc/profile,.profile)","Yes(Unixfeature)","Yes","Yes"
"zsh","POSIX","zsh","1990","Yes","Deepin,GoboLinux,Grml,macOS10.15+","Grml,macOS10.15+","MIT-style","Yes","Text-basedCLI","viaadditionalcode","Yes","Yes(variousinternalfeaturesinvolvingthedate,byusingthe%Fstrftimeformatandthe-ioptionforthefcbuiltin)","Yes","Yes(fdsupto9)","Yes(viavariables,options,functions,styles,etc.)","Yes(systemanduser'szshenv,zprofile,zshrc,zlogin,zlogout)","Yes(Unixfeature)","Yes","Yes"
"ash","POSIX","sh","1989","Yes","Minix,BusyBoxbasedsystems","NetBSD,Minix,BusyBoxbasedsystems","BSD-style","Yes","Text-basedCLI","No","Partial(forBusyBox,supportedincommand-lineediting,butnotinstringhandling)","N/A","Yes","Yes(arbitraryfds)","Yes(viavariablesandoptions)","Yes(/etc/profile,.profile)","Yes(Unixfeature)","Yes","Yes"
