"","if","elseif","selectcase","conditionalexpression"
"Ada","ifconditionthenstatements«elsestatements»endif","ifcondition1thenstatementselsifcondition2thenstatements...«elsestatements»endif","caseexpressioniswhenvalue_list1=>statementswhenvalue_list2=>statements...«whenothers=>statements»endcase","(ifcondition1thenexpression1«elsifcondition2thenexpression2»...elseexpressionn)or(caseexpressioniswhenvalue_list1=>expression1whenvalue_list2=>expression2...«whenothers=>expressionn»)"
"Seed7","ifconditionthenstatements«elsestatements»endif","ifcondition1thenstatementselsifcondition2thenstatements...«elsestatements»endif","caseexpressionofwhenset1:statements...«otherwise:statements»endcase",""
"Modula-2","ifconditionthenstatements«elsestatements»end","ifcondition1thenstatementselsifcondition2thenstatements...«elsestatements»end","caseexpressionofcaseLabelList:statements|...«elsestatements»end",""
"ALGOL68","ifconditionthenstatements«elsestatements»fi","ifconditionthenstatementselifconditionthenstatementsfi","caseswitchinstatements,statements«,...outstatements»esac","(condition|valueIfTrue|valueIfFalse)"
"ALGOL68(briefform)","(condition|statements«|statements»)","(condition|statements|:condition|statements)","(variable|statements,...«|statements»)",""
"APL",":Ifconditioninstructions«:Elseinstructions»:EndIf",":Ifconditioninstructions:ElseIfconditioninstructions...«:Elseinstructions»:EndIf",":Selectexpression:Casecase1instructions...«:Elseinstructions»:EndSelect","{condition:valueIfTrue?valueIfFalse}"
"C(C99)and:Objective-CC++(STL)DJavaJavaScriptPHP","if(condition)instructions«elseinstructions»instructionscanbeasinglestatementorablockintheformof:{statements}","if(condition)instructionselseif(condition)instructions...«elseinstructions»orif(condition)instructionselse{if(condition)instructions}","switch(variable){casecase1:instructions«;break;»...«default:instructions»}","condition?valueIfTrue:valueIfFalse"
"C#","if(condition)instructions«elseinstructions»instructionscanbeasinglestatementorablockintheformof:{statements}","if(condition)instructionselseif(condition)instructions...«elseinstructions»","switch(variable){casecase1:instructions«break_or_jump_statement»...«default:instructionsbreak_or_jump_statement»}Allnon-emptycasesmustendwithabreakorgotocasestatement(thatis,theyarenotallowedtofall-throughtothenextcase).Thedefaultcaseisnotrequiredtocomelast.","condition?valueIfTrue:valueIfFalse"
"WindowsPowerShell","if(condition)instruction«elseinstructions»","if(condition){instructions}elseif(condition){instructions}...«else{instructions}»","switch(variable){case1{instructions«break;»}...«default{instructions}»}",""
