"Tonename","Yinlevel??(1)","Yinrising??(2)","Yindeparting??(3)","Yinentering??(4)","Yanglevel??(5)","Yangrising??(6)","Yangdeparting??(7)","Yangentering??(8)","Highrising(9)","Neutraltone(0)"
"IPA","a?","a??","a??","ap?at?ak?a??","a??","","a?","ap?at?ak?a??","a??","a?"
"Pe?h-?e-j?","a","á","à","apatakah","â","","?","a?pa?ta?ka?h","","--a"
"RevisedTLPA,TLPA","a1","a2","a3","ap4at4ak4ah4","a5","a6","a7","ap8at8ak8ah8","a9","a0"
"BP","?","?","à","?p?t?k?h","á","","â","ápátákáh","",""
"MLT","af","ar","ax","abadagaq","aa","aar","a","apatakah","","~a"
"DT","a","à","â","?p?t?k?h","?","","?","apatakah","á","å"
"Taiwanesekana(normalvowels)","??","??","??","?????????","??","","??","?????????","",""
"Taiwanesekana(nasalvowels)","??","??","??","?????????","??","","??","?????????","",""
"Extendedbopomofo","?","??","??","????????","??","","??","????????????","",""
"Tâi-lô","a","á","à","ah","â","?","?","a?h","a?","--ah"
"Example(traditionalChinese)","??","??","??","????????","??","","??","????????","??","??"
"Example(simplifiedChinese)","??","??","??","????????","??","","??","????????","??","??"
