"Name","Vendor","License","OS","Notes"
"AdaptiveServerEnterprise","SAP","Proprietary","Cross-platform",""
"Caché","InterSystems","Proprietary","Cross-platform",""
"CUBRID","NHNCorporation","GPL/BSD","Linux,Windows",""
"Db2","IBM","Proprietary","Cross-platform",""
"GigaSpaces","GigaSpaces","Apache-2.0orProprietary","Cross-platform",""
"GreenplumDatabase","GreenplumdivisionofEMCCorporation","Proprietary","?","UsesPostgreSQLcodebase"
"Informix","IBM","Proprietary","Cross-platform",""
"MicrosoftSQLServer","MicrosoftCorporation","Proprietary","Windows,Linux","Supportsdataobjectsin.NETlanguages"
"OpenEdgeAdvancedBusinessLanguage(formerlyProgress4GL)","ProgressSoftwareCorporation","Proprietary","Cross-platform",""
"OracleDatabase","OracleCorporation","Proprietary","Linux,Windows,Unix",""
"PostgreSQL","PostgreSQLGlobalDevelopmentGroup","PostgreSQLLicense","Cross-platform",""
"VirtuosoUniversalServer","OpenLinkSoftware","GPLv2orproprietary","Cross-platform",""
"VMDS(VersionManagedDataStore)","GEEnergy,adivisionofGeneralElectric","Proprietary","?","GISforpublicutilities;canbestoredinsideOracleDatabase"
"WakandaDB","4thDimension","AGPLv3orproprietary","Windows,Linux,macOS","BasedonRESTandserver-sideJavaScript"
"XDBEnterpriseServer","MicroFocus","Proprietary","DOS,WindowsNT,OS/2",""
"YugabyteDB","Yugabyte","Apache2.0","Linux",""
"ZopeObjectDatabase","ZopeCorporation","ZopePublicLicense","Cross-platform","ForPython,alsoincludedinZopewebapplicationserver"
