"System","Email","RSS","Atom","XMPP","Twitter"
"ApacheBloodhound","Yes","Yes","No","No","No"
"AssemblaTickets","Yes","Yes","No","No","Yes"
"Axosoft","Yes","Yes","No","No","No"
"Bugzilla","Yes","Yes","Yes","No","No"
"Debbugs","Yes","No","No","No","No"
"Dolibarr","Yes","No","No","No","No"
"FaveoHelpdesk","Yes","No","No","No","No"
"FogBugz","Yes","Yes","No","No","No"
"Fossil","Yes","Yes","No","No","No"
"FusionForge","Yes","Yes","No","No","No"
"GLPI","Yes","No","No","Yes","No"
"GNATS","Yes","No","No","No","No"
"HelixALM","Yes","Yes","No","No","No"
"HPQualityCenter","Yes","No","No","No","No"
"Jira","Yes","Yes","No","Yes","No"
"MantisBT","Yes","Yes","No","No","Yes"
"MicrosoftDynamicsCRM","Yes","No","No","No","No"
"org-mode","No","No","No","No","No"
"OTRS","Yes","No","No","No","No"
"Phabricator","Yes","No","No","No","No"
"PivotalTracker","Yes","Yes","Yes","No","Yes"
"Redmine","Yes","Yes","Yes","Yes,viaplugin","Yes"
"RequestTracker","Yes","Yes","No","No","No"
"Roundup","Yes","Yes","Yes","No","No"
"StarTeam","Yes","No","No","No","No"
"Supportworks","Yes","No","No","No","No"
"SysAid","Yes","No","No","No","No"
"TeamFoundationServer","Yes","No","No","No","No"
"Trac","Yes","Yes","No","No","No"
"TrackerSuite.Net","Yes","No","No","No","No"
"Twproject","Yes","Yes","No","No","Yes"
"Wrike","Yes","No","No","No","No"
"YouTrack","Yes","Yes","No","Yes","No"
"Zammad","Yes","No","No","No","Yes"
"System","Email","RSS","Atom","XMPP","Twitter"
