"Software","HTML","LaTeX","RTF","Plaintext","RSS","Other"
"Bebop","Yes","No","No","No","Yes","unAPI"
"BibBase","Yes","No","No","No","Yes","No"
"BibDesk","Yes","Yes","Yes","Yes","Yes","Atom,DOC,PDF,XML,"
"Biblioscape","Yes","No","Yes","Yes","No","No"
"BibSonomy","Yes","No","Yes","Yes","Yes","OpenOffice-CSV"
"Bibus","Yes","No","No","No","No","No"
"Bookends","Yes","No","Yes","Yes","No","clipboard"
"Citavi","Yes","Yes","Yes","Yes","No","clipboard,DOC,ODT,PDF,HTML"
"CiteULike","Yes","No","Yes","Yes","Yes","PDF"
"colwiz","Yes","Yes","Yes","No","No","PDF"
"EndNote","Yes","No","Yes","Yes","No","clipboard,XML"
"JabRef","Yes","Yes","Yes","Yes","No","clipboard"
"KBibTeX","Yes","No","Yes","No","No","PDF,PS"
"Mendeley","Yes","Yes","Yes","Yes","Yes","clipboard,embeddableHTMLwidget,RSS"
"Paperpile","?","?","?","?","?","?"
"Pybliographer","Yes","?","No","Yes","No","No"
"Qiqqa","?","?","?","?","?","?"
"ReadCube(nowPapers)","Yes","No","No","No","No","PDF"
"refbase","Yes","Yes","Yes","Yes","Yes","Markdown,PDF,unAPI"
"RefDB","Yes","?","Yes","Yes","No","DocBook,TEI"
"ReferenceManager","Yes","No","Yes","Yes","No","clipboard"
"Referencer","?","?","?","?","?","?"
"RefME","?","?","?","?","?","?"
"RefWorks","Yes","No","Yes","Yes","No","DOC,ODT"
"SciRef","No","No","Yes","Yes","No","Doc,others"
"Sente","Yes","No","Yes","Yes","No","clipboard"
"Wikindx","Yes","No","Yes","Yes","Yes","MultipleviaBibUtilsplug-in"
"WizFolio","Yes","No","Yes","Yes","No","clipboard,DOC"
"Zotero","Yes","Possibleviaplugin","Yes","Possibleviaplugins","Yes","clipboard"
