"","Description","Creator","Firstpublicreleasedate","Lateststableversion","LatestStableReleaseDate","ListPrice(USD)","Softwarelicense"
"AbilityPhotopaint","partoftAbilityOffice,Graphicseditorwithsomeadvancedfeatures","AbilitySoftware","March2001","10","May1,2020","","Proprietary"
"ACDSeeHome","changedname2021toPhotoStudioHome","","","2020","December18,2019","$59","Proprietary"
"ACDSeePro","changedname2021toPhotoStudioPro","","","2020","December18,2019","$99","Proprietary"
"ACDSeeUltimate","changedname2021toPhotoStudioUltimate","","","2020","December18,2019","$149","Proprietary"
"AcornImageEditor","ImageeditorandgraphicscreatorformacOS","FlyingMeatInc.","September10,2007","6.6.3","November19,2020","","Proprietary"
"AdobeFireworks*","Alternativeto1targetedatwebdesigners,discontinuedafterCS6","Macromedia","1998","CS6/12.0","May7,2012","Discontinued","Proprietary"
"AdobePhotoshop","Professionalimageeditorandgraphicscreationtool","AdobeSystems","February19,1990","CC2021/22.4.1","May19,2021","$9.99/month","Proprietary"
"AdobePhotoshopElements","Rastergraphicseditorforentry-levelphotographers,imageeditorsandhobbyists","","","2021","October8,2020","$99","Proprietary"
"AdobePhotoshopLightroom","Photoeditor","AdobeSystems","February19,2007","10.0","October19,2020","$9.99/month","Proprietary"
"AffinityPhoto","ProfessionalimageeditorforWindows,macOSandiOS","SerifEurope","July9,2015","1.9.0","February4,2021","$49.99","Proprietary"
"Artipic","ImageeditorforWindowsandmacOS","ArtipicAB","2014","2.6","October30,2017","","Proprietary"
"ArtRage","Digitalpaintprogramfortabletcomputers","AmbientDesign","2004","6","June2019","","Proprietary"
"Artweaver","Emulatesphysicalpaintingexperienceonacomputer","BorisEyrich","2002","7.0.10","October3,2021","","Freeware"
"AutodeskSketchBookPro","Paintanddrawingtoolsetforusewithdigitizedpentablets&tabletcomputers","Autodesk","2004","8.4.3(Android4.0.6,iOS4.1)","","","Freeware"
"Bibble*","Photoeditorandorganizerwithcamerarawfilesupport","BibbleLabs","2000","5.2.3","2011","","Proprietary"
"Bloom","Proceduralnode-basedimageeditor","SadCatSoftware","2015","1.0.467","August5,2016","","Proprietary"
"BrushStrokesImageEditor","ImageeditorlikeWindowsPaint","PaulBird","2004","2.0","","noprogress","Freeware"
"CaptureOne","Professionalrawconverterandimageeditor","PhaseOne","2002","13.1.3","October24,2020","","Proprietary"
"ChasysDrawIES","ImageEditorwithlayers,animation,iconedit,super-res,batchandcameraraw","JohnPaulChacha","2001","5.09.01","October28,2021","","Freeware"
"CinePaint","Movingpicture,photoandgraphicseditor","RobinRowe","July4,2002","1.4.5","2021-05-30","","GPL-2.0-or-later"
"CodedColorPhotoStudioPro","AnbitmapgraphicseditorandimageorganizerforWindowspc","1STEINCorp.","2001","8.2","February8,2020","","Proprietary"
"CorelPaintShopPro","Advancedimageeditorandgraphicscreator","JascSoftware","1992","2021Update1","October22,2020","","Proprietary"
"CorelPainter","Madetocreatenatural-lookingartisticimages(forProfessional)","MarkZimmer,TomHedges,JohnDerry","August1991","2022","2021","","Proprietary"
