"Driver","802.11","802.11","WirelessSecurity","WirelessSecurity","802.11","802.11","802.11","802.11","802.11","Businterface","WirelessSecurity","Monitormode","Master(AP)mode","Ad-Hocmode","IEEE802.11s"
"Driver","a","Businterface","b","Monitormode","Master(AP)mode","Ad-Hocmode","IEEE802.11s","g","n","ac","ad","ax","WEP","WPA","WPA2"
"acx1xx","No","Yes","Yes","No","No","?","?","PCI,MiniPCI,PCcard,USB","Yes","No","No","Yes","Yes","?",""
"adm8211","No","Yes","No","No","No","?","?","PCI","Yes","?","?","Yes","No","Yes",""
"carl9170","Yes","Yes","Yes","Yes","No","?","?","USB","Yes","Yes","Yes","Yes","Yes","Yes",""
"ath5k","Yes","Yes","Yes","No","No","?","?","PCI,MiniPCI,PCcard,AHB","Yes","Yes","Yes","Yes","Yes(2.6.31)","Yes",""
"ath9k","Yes","Yes","Yes","Yes","No","?","?","PCI,MiniPCI,MiniPCIe,AHB","Yes","Yes","Yes","Yes","Yes","Yes",""
"ath9k_htc","Yes","Yes","Yes","Yes","No","?","?","USB","Yes","Yes","Yes","Yes","Yes","Yes",""
"ath10k","No","No","No","No","Yes","?","?","PCI,MiniPCI,AHB,MiniPCIe","Yes","Yes","Yes","Yes","Yes","Yes",""
"b43","No","Yes","Yes","No","No","?","?","PCI,MiniPCI,SDIO?","Yes","Yes","Yes","Yes","Yes","Yes",""
"bcm43xx","No","Yes","Yes","No","No","?","?","PCI,MiniPCI,Cardbus,PCcard","Yes","Yes","Yes","Yes","No","?",""
"brcmfmac","Yes","Yes","Yes","Yes","No","?","?","USB,SDIO,PCIExpress","Yes","Yes","Yes","Exp.","Yes","No",""
"brcmsmac","Yes","Yes","Yes","Yes","No","?","?","PCI,MiniPCI,MiniPCIe","Yes","Yes","Yes","Yes","Yes","Yes",""
"hostap","No","Yes","No","No","No","?","?","PCI,MiniPCI,PCcard","Yes","Yes","Yes","Yes","Yes","Yes",""
"ipw2100","No","Yes","No","No","No","?","?","MiniPCI","Yes","Yes","Yes","Yes","?","?",""
"ipw2200","Yes","Yes","Yes","No","No","?","?","MiniPCI","Yes","Yes","Yes","Yes","No","Yes",""
"ipw2200-ap","No","Yes","Yes","No","No","?","?","MiniPCI","?","?","?","Yes","Yes","?",""
"ipw3945","Yes","Yes","Yes","No","No","?","?","MiniPCI,MiniPCIe","Yes","Yes","Yes","Yes","No","Yes",""
"islsm","?","?","?","?","?","?","?","PCI,USB","No","No","No","?","No","?",""
"iwlwifi","Yes","Yes","Yes","Yes","Yes","?","?","MiniPCI,MiniPCIe,M.2","Yes","Yes","Yes","Yes","2.4GHzonlyExp.","Yes",""
"libertas","No","Yes","Yes","No","No","?","?","USB,CF,SDIO","?","?","?","?","No","?",""
"madwifi","Yes","Yes","Yes","No","No","?","?","PCI,PCcard,MiniPCI","Yes","Yes","Yes","Yes","Yes","Yes",""
"mt76","Yes","Yes","Yes","Yes","Yes","?","?","PCIe,USB","Yes","Yes","Yes","Yes","Yes","Yes",""
"mt7601u","No","Yes","Yes","Yes","No","?","?","USB","Yes","Yes","Yes","Yes","?","?",""
"orinoco","No","Yes","No","No","No","?","?","MiniPCI,PCcard","Yes","Yes","No","Yes","No","Yes",""
"p54","No","Yes","Yes","No","No","?","?","MiniPCI,USB,Cardbus","Yes","Yes","Yes","Yes","Yes","Yes",""
"prism54","No","Yes","Yes","No","No","?","?","PCI","Yes","No","?","Yes","Yes","?",""
"rndis_wlan","No","Yes","Yes","No","No","?","?","USB","Yes","Yes","Yes","No","No","Yes",""
"rt2x00","No","Yes","Yes","No","No","?","?","PCI,USB,MiniPCI","Yes","Yes","Yes","Yes","Yes","Yes",""
"rtl8180","Yes","Yes","Yes","No","No","?","?","PCI,PCcard,MiniPCI","?","?","?","?","Yes","?",""
"rtl8187","Yes","Yes","Yes","No","No","?","?","USB","Yes","Yes","Yes","Yes","?","?",""
"zd1201","No","Yes","No","No","No","?","?","USB","Yes","No","No","Yes","Yes","?",""
"zd1211","Yes","Yes","Yes","No","No","?","?","USB","Yes","Yes","Yes","Yes","Yes","?",""
"zd1211rw","No","Yes","Yes","No","No","?","?","USB","Yes","Yes","Yes","Yes","Yes","Yes",""
