"Name","Operatingsystem(s)","Sourcecodelanguage(s)","Programming(plugin)APIlanguage(s)","Othertechnicalfeatures"
"Bidule","MacOSX,Windows","C++","C++","ASIO/CoreAudio(Mac)/ReWiresupport.PossibletowritecustommodulesviaAPIifNDAaccepted."
"ChucK","MacOSX,Linux,Windows","C++","C++","Unifiedtimingmechanism(noseparationbetweenaudio-rateandcontrol-rate),command-lineaccess"
"Csound","MacOSX,Linux,Windows","C,C++","C;alsoPython,Java,Lisp,Lua,Tcl,C++","IDE(QuteCsound),multitrackinterface(blue);severalanalysis/resynthesisfacilities;cancomputedouble-precisionaudio;PythonandLuaJITalgorithmiccompositionlibrary;multi-threadedprocessing"
"Impromptu","MacOSX","Lisp,Objective-C,Scheme","C,C++,Objective-C,Scheme","NativeaccesstomostOSXAPIsincludingCoreImage,Quartz,QuickTimeandOpenGL.Impromptualsoincludesitsownstaticallytyped(inferencing)systemslanguageforheavynumericprocessing-OpenGL,RTAudioDSPetc.."
"Kyma","MacOSX,Windows","Smalltalk,C,Objective-C","Smalltalk","TheKymahardwareprocessesuseralgorithmsatsample-rate,asopposedtoavectorofsamplesKymahasaFrequencyresolutionof.0026Hz,andlargemulti-dimensionalarrayscanbetransferredthroughspectralalgorithmsatthespeedofasingleFrame."
"Max/MSP","MacOSX,Windows","C,Objective-C","C,Java,JavaScript,alsoPythonandRubyviaexternals",""
"PureData","MacOSX,Linux,Windows,iPod,Android","C","C,C++,FAUST,Haskell,Java,Lua,Python,Q,Ruby,Scheme,others",""
"Reaktor","MacOSX,Windows","","",""
"SuperCollider","MacOSX,Linux,Windows,FreeBSD","C,C++,Objective-C","C++","Client-serverarchitecture;clientandservercanbeusedindependently,command-lineaccess"
"Sporth","Linux,MacOSX","C","C,Scheme","ManyfrontendsbuiltusingtheAPIexist,includingChuck,PD,andLADSPA"
"SynthEdit","Windows,MacOS","C++","C++",""
"VCVRack","MacOSX,Linux,Windows","C++","C++",""
