"System","Creator","License","Implementationlanguage(s)","Backend","LaunchDate"
"FaveoHelpdesk","LadybirdWebSolution","Proprietary","PHP","MySQL","2015"
"GLPI","INDEPNET","GPL","PHP","MySQL","2003"
"HEAT","FrontRangeSolutions","Proprietary",".NET","MicrosoftSQLServer,Oracle","1990"
"JIRA","Atlassian","Proprietary,Freefornon-commercialuse;hosted&on-premises","Java","MySQL,PostgreSQL,Oracle,MicrosoftSQLServer","2003"
"OTRS","OTRS","AGPL","Perl","MySQL,PostgreSQL,Oracle,MicrosoftSQLServer","2001"
"RequestTracker","BestPracticalSolutions,LLC","GPL","Perl","MySQL,PostgreSQL,Oracle","1999-10-13"
"Spiceworks","SpiceworksITSoftware","Proprietary;freeforuse","Ruby","sqlite","2006"
"Supportworks","HornbillSystems","Proprietary","VisualC++andPHP","MicrosoftSQLServer,MySQL,Oracle,Sybase","1994"
"SysAid","SysAidTechnologies","Proprietary","Java,C#","MySQL,Derby,Oracle,MicrosoftSQLServer","2002"
"Tracker","AutomationCentre","Proprietary","Groupware,requiresLotusNotes","IBMLotusDomino","2001"
"TrackerSuite.Net","AutomationCentre","Proprietary","C#","MicrosoftSQLServer","2006"
"Zammad","ZammadGmbH","AGPLv3","Ruby","MySQL,PostgreSQL","2016"
