"Format","Null","Booleans","Integer","Floating-point","String","Array","Associativearray/object"
"ASN.1(BER,PERorOERencoding)","NULLtype","BOOLEAN:BER:as1byteinbinaryform;PER:as1bit;OER:as1byte","INTEGER:BER:variable-lengthbig-endianbinaryrepresentation(upto2bits);PERUnaligned:afixednumberofbitsiftheintegertypehasafiniterange;avariablenumberofbitsotherwise;PERAligned:afixednumberofbitsiftheintegertypehasafiniterangeandthesizeoftherangeislessthan65536;avariablenumberofoctetsotherwise;OER:1,2,or4octets(eithersignedorunsigned)iftheintegertypehasafiniterangethatfitsinthatnumberofoctets;avariablenumberofoctetsotherwise","REAL:base-10realvaluesarerepresentedascharacterstringsinISO6093format;binaryrealvaluesarerepresentedinabinaryformatthatincludesthemantissa,thebase(2,8,or16),andtheexponent;thespecialvaluesNaN,-INF,+INF,andnegativezeroarealsosupported","Multiplevalidtypes(VisibleString,PrintableString,GeneralString,UniversalString,UTF8String)","DataspecificationsSETOF(unordered)andSEQUENCEOF(guaranteedorder)","Userdefinabletype"
"Binn","\x00","True:\x01False:\x02","Big-endian2'scomplementsignedandunsigned8/16/32/64bits","Single:big-endianbinary32Double:big-endianbinary64","UTF-8encoded,nullterminated,precededbyint8orint32stringlengthinbytes","Typecode(1byte)+1–4bytessize+1–4bytesitemscount+listitems","Typecode(1byte)+1–4bytessize+1–4bytesitemscount+key/valuepairs"
"BSON","\x0A(1byte)","True:\x08\x01False:\x08\x00(2bytes)","int32:32-bitlittle-endian2'scomplementorint64:64-bitlittle-endian2'scomplement","Double:little-endianbinary64","UTF-8encoded,precededbyint32encodedstringlengthinbytes","BSONembeddeddocumentwithnumerickeys","BSONembeddeddocument"
"ConciseBinaryObjectRepresentation(CBOR)","\xf6(1byte)","True:\xf5False:\xf4(1byte)","Smallpositive/negative\x00–\x17&\x20–\x37(1byte)8-bit:positive\x18,negative\x38(+1byte)16-bit:positive\x19,negative\x39(+2bytes)32-bit:positive\x1A,negative\x3A(+4bytes)64-bit:positive\x1B,negative\x3B(+8bytes)Negativexencodedas(?x?1)","IEEEhalf/single/double\xf9–\xfb(+2–8bytes)Decimalsandbigfloats(4+bytes)encodedas\xc4tag+2-itemarrayofintegermantissa&exponent","Lengthandcontent(1–9bytesoverhead)Bytestring\x40–\x5fUTF-8\x60–\x7fIndefinitepartialstrings\x5fand\x7fstitchedtogetheruntil\xff.","Lengthanditems\x80–\x9eIndefinitelist\x9fterminatedby\xffentry.","Length(inpairs)anditems\xa0–\xbeIndefinitemap\xbfterminatedby\xffkey."
"EfficientXMLInterchange(EXI)(Unpreservedlexicalvaluesformat)","xsi:nilisnotallowedinbinarycontext","1–2bitintegerinterpretedasboolean.","Booleansign,plusarbitrarylength7-bitoctets,parseduntilmost-significantbitis0,inlittle-endian.Theschemacansetthezero-pointtoanyarbitrarynumber.Unsignedskipsthebooleanflag.","Float:integermantissaandintegerexponent.Decimal:booleansign,integerwholevalue,integerfractional.","Lengthprefixedinteger-encodedUnicode.Integersmayrepresentenumerationsorstringtableentriesinstead.","Lengthprefixedsetofitems.","Notinprotocol."
"FlatBuffers","Encodedasabsenceoffieldinparentobject","True:\x01False:\x00(1byte)","Little-endian2'scomplementsignedandunsigned8/16/32/64bits","floats:little-endianbinary32doubles:little-endianbinary64","UTF-8encoded,precededby32bitintegerlengthofstringinbytes","Vectorsofanyothertype,precededby32bitintegerlengthofnumberofelements","Tables(schemadefinedtypes)orVectorssortedbykey(maps/dictionaries)"
"Ion","\x0f","True:\x11False:\x10","Positive\x2x,negative\x3xZeroisalwaysencodedintagbyteBigIntsover13bytes(104bits)have1+byteoverheadforlength","\x44(32-bitfloat)\x48(64-bitfloat)Zeroisalwaysencodedintagbyte","UTF-8:\x8xOtherstrings:\x9xArbitrarylengthandoverhead","\xbxArbitrarylengthandoverhead.Lengthinoctets.","Structs(numberedfields):\xdxAnnotations(namedfields):\xex"
"MessagePack","\xc0","True:\xc3False:\xc2","Singlebyte""fixnum""(values?32–127)ortypecode(1byte)+big-endian(u)int8/16/32/64","Typecode(1byte)+IEEEsingle/double","Typecode+upto15bytesortypecode+lengthasuint8/16/32+bytes;encodingisunspecified","As""fixarray""(single-byteprefix+upto15arrayitems)ortypecode(1byte)+2–4byteslength+arrayitems","As""fixmap""(single-byteprefix+upto15key-valuepairs)ortypecode(1byte)+2–4byteslength+key-valuepairs"
"Netstrings","Notinprotocol.","Notinprotocol.","Notinprotocol.","LengthencodedasanASCIIstring+':'+data+','Lengthcountsonlyoctetsbetween':'and','","Notinprotocol.","Notinprotocol.","Notinprotocol."
"OGDLBinary","","","","","","",""
