"Client","Windows","macOS","Linux","BSD","Unix","AmigaOS","ChromeOS"
"AbsoluteTelnet","Yes","No","No","No","No","No","No"
"ALFTP","Yes","No","No","No","No","No","No"
"BeyondCompare","Yes","Yes","Yes","No","No","No","No"
"ClassicFTP","Yes","Yes","No","No","No","No","No"
"Codeanywhere(webbased)","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CommanderOne","No","Yes","No","No","No","No","No"
"CoreFTP","Yes","No","No","No","No","No","No"
"CrossFTP","Yes","Yes","Yes","Yes","Yes","Yes","No"
"cURL(CL)","Yes","Yes","Yes","Yes","Yes","Yes","No"
"CuteFTP","Yes","Yes","No","No","No","No","No"
"Cyberduck","Yes","Yes","No","No","No","No","No"
"DirectoryOpus","Yes","No","No","No","No","Yes","No"
"ExpanDrive","Yes","Yes","No","No","No","No","No"
"FarManager","Yes","No","No","No","No","No","No"
"Fetch","No","Yes","No","No","No","No","No"
"FileZilla","Yes","Yes","Yes","Yes","Yes","No","No"
"FireFTP","Yes","Yes","Yes","Yes","Yes","No","No"
"FlashFXP","Yes","No","No","No","No","No","No"
"FlingFTP","Yes","No","No","No","No","No","No"
"ForkLift","No","Yes","No","No","No","No","No"
"FTPClient","No","Yes","No","No","No","No","No"
"FTPCommander","Yes","No","No","No","No","No","No"
"FTPExplorer","Yes","No","No","No","No","No","No"
"FTPVoyager","Yes","No","No","No","No","No","No"
"Fugu","No","Yes","No","No","No","No","No"
"gFTP","No","Yes","Yes","Yes","Yes","No","No"
"Interarchy","No","Yes","No","No","No","No","No"
"LeechFTP","Yes","No","No","No","No","No","No"
"lftp(CL)","Yes(cygwin)","Yes","Yes","Yes","Yes","No","No"
"Macfusion","No","Yes","No","No","No","No","No"
"Mosaic","Yes","Yes","No","No","Yes","Yes","No"
"NcFTP(CL)","Yes","Yes","Yes","Yes","Yes","Yes","No"
"net2ftp(web-based)","Yes","Yes","Yes","Yes","Yes","Yes","No"
"PSFTP(PuTTY)(CL)","Yes","No","Yes","Yes","Yes","No","No"
"Rclone","Yes","Yes","Yes","Yes","Yes","No","No"
"SecureFTP","Yes","Yes","Yes","Yes","Yes","Yes","No"
"SmartFTP","Yes","No","No","No","No","No","No"
"Steed","Yes","No","No","No","No","No","No"
"SysaxFTPAutomation","Yes","No","No","No","No","No","No"
"TotalCommander","Yes","No","No","No","No","No","No"
"tnftp(CL)","Yes(cygwin)","Yes","Yes","Yes","Yes","No","Yes"
"Transmit","No","Yes","No","No","No","No","No"
"WebDrive","Yes","Yes","No","No","No","No","No"
"WinSCP","Yes","No","No","No","No","No","No"
"WISE-FTP","Yes","No","No","No","No","No","No"
"WS_FTP","Yes","No","No","No","No","No","No"
"YummyFTP","No","Yes","No","No","No","No","No"
"Client","Windows","MacOSX","Linux","BSD","Unix","AmigaOS","ChromeOS"
