"Name","GuestOSSMPavailable","RunsarbitraryOS","SupportedguestOSdrivers","Methodofoperation","Typicaluse","SpeedrelativetohostOS","Commercialsupportavailable"
"Containers,orZones","Yes,over500-wayoncurrentsystems","No","Usesnativedevicedrivers","Operatingsystem-levelvirtualization","Serverconsolidationwithworkloadisolation,singleworkloadcontainment,hosting,dev/test/prod","Nearnative","Yes"
"Hyper-VServer2008R2","Yes,upto4VCPUsperVM","Yes","Yes","Virtualization","Serverconsolidation,servicecontinuity,dev/test,desktopvirtualization,cloudcomputing","Uptonearnative","Yes"
"OpenVZ","Yes","No","Compatible","Operatingsystem-levelvirtualization","Virtualizedserverisolation","Uptonearnative","Yes"
"KVM","Yes","Yes","Yes","AMD-VandIntel-VT-x","Virtualizedserverisolation,server/desktopconsolidation,softwaredevelopment,cloudcomputing,otherpurposes","Uptonearnative","Yes"
"Linux-VServer","Yes","No","Compatible","Operatingsystem-levelvirtualization","Virtualizedserverisolationandsecurity,serverconsolidation,cloudcomputing","Uptonearnative","Yes"
"OracleVMServerforx86","Yes","Yes","Yes","Paravirtualizationandhardwarevirtualization","Serverconsolidationandsecurity,enterpriseandbusinessdeployment","Uptonearnative","Yes"
"OracleVMServerforSPARC(LDoms)","Yes","Yes,butneedsporting","Yes","Paravirtualizationandhardwarevirtualization","Serverconsolidationandsecurity,enterpriseandbusinessdeployment","Uptonearnative","Yes"
"OVPsim","Yes","Yes","?","Fullsystemsimulationwithoptionalcomponentvirtualization","Softwaredevelopment(early,embedded),advanceddebugforsingleandmulticoresoftware,compilerandothertooldevelopment,computerarchitectureresearch,hobbyist","Dependsontargetarchitecture(fullandslowhardwareemulationforguestsincompatiblewithhost)","Yes,withcommerciallicensefromImperas"
"PikeOS","Yes","Yes,butmodificationsrequiredasparavirtualizationisused","Yes","Paravirtualization","Safetyandsecuritycriticalembeddedsystems.","Uptonearnative","Yes"
"ScaleMPvSMPFoundation","Yes,upto8,192CPUsand64TBperVM","Yes","Yes","Virtualization","Serverconsolidation,Cloudcomputing","?","Yes"
"Simics","Yes","Yes","Yes","Fullsystemsimulationofprocessors,MMUs,devices,disks,memories,networks,etc.","Softwaredevelopment,advanceddebugforsingleandmulticoresoftware,compilerandothertooldevelopment,computerarchitectureresearch,bugtransportation,automatedtesting,systemarchitecture,long-termsupportofsafety-criticalsystems,earlyhardwareavailability,virtualprototyping","Dependsonhostmachineandtargetarchitecture.Runsatnear-nativespeedsforx86-on-x86usingVT-x,cross-simulationofotherarchitecturescanbefasterorslowerthanreal-timedependingonhowfastthetargetisandhowbigthetargetis(numberofprocessors,numberoftargetmachines,andhowmuchthesimulationcanbeparallelized)","Yes"
"SunxVMServer","Yes","Yes","Yes","Paravirtualizationandportingorhardwarevirtualization","Servers,Development","Uptonearnative","Yes"
"SVISTA2004","No","?","?","?","Hobbyist,Developer,Businessworkstation","?","?"
"TRANGO","Yes","Yes","Yes","Paravirtualizationandportingorhardwarevirtualization","Mob.phone,STB,routers,etc.","Nearnative","?"
"UserModeLinux","?","No","specialguestkernel+modulesrequired","Porting","Developer(asaseparatemachineforaserverorwithX11networking)","Non-significantlyslowerthannative(allcallstokernelareproxied)","?"
"OKL4Microvisor","Yes","Yes,(eitherwithpara-virtualizationorHWvirtualization)","Yes","Paravirtualization,Hardwareassistedvirtualization","Mobile,embedded,security,safetycritical,networking,legacyOS,etc.","Nearnative","Yes"
