"OLAPserver","MOLAP","ROLAP","HOLAP","Offline"
"ApacheDruid","Yes","Yes","Yes","Yes"
"ApacheKylin","Yes","No","No","Yes"
"ApachePinot","Yes","Yes","Yes","Yes"
"ClickHouse","Yes","Yes","Yes","Yes"
"Essbase","Yes","No","No",""
"IBMCognosBI","Yes","Yes","Yes",""
"IBMCognosTM1","Yes","No","No","CognosInsightDistributedmode"
"icCube","Yes","No","No","OfflineCubes"
"JedoxOLAPServer","Yes","No","No","No"
"Kyvos","Yes","Yes","Yes","Yes"
"MicrosoftAnalysisServices","Yes","Yes","Yes","Localcubes,PowerPivotforExcel,PowerBIDesktop"
"MicroStrategyIntelligenceServer","Yes","Yes","Yes","MicroStrategyOffice,DynamicDashboards"
"MondrianOLAPserver","No","Yes","No",""
"OracleDatabaseOLAPOption","No","Yes","No",""
"SAPNetWeaverBW","Yes","Yes","No",""
"SASOLAPServer","Yes","Yes","Yes",""
